tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YU Mengyu,SHIN Yubin,4,2,"8,11,12,5,11,11|11,6,10,11,9,3",QR64,GRAND_SLAM,WS,2021,Qualification,SHIN Yubin (KOR),YU Mengyu (SGP),YU Mengyu
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Fei,PARTYKA Natalia,4,1,"11,11,11,10,11|7,6,7,12,5",QR64,GRAND_SLAM,WS,2021,Qualification,PARTYKA Natalia (POL),LIU Fei (CHN),LIU Fei
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SHAO Jieni,KIM Youjin,4,2,"11,11,8,11,7,11|3,8,11,8,11,9",QR64,GRAND_SLAM,WS,2021,Qualification,KIM Youjin (KOR),SHAO Jieni (POR),SHAO Jieni
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHOI Hyojoo,LI Ching Wan,4,2,"11,11,11,8,8,11|7,5,8,11,11,7",QR64,GRAND_SLAM,WS,2021,Qualification,LI Ching Wan (HKG),CHOI Hyojoo (KOR),CHOI Hyojoo
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LIU Hsing-Yin,KATO Miyu,4,2,"9,11,11,11,9,11|11,3,9,9,11,9",QR64,GRAND_SLAM,WS,2021,Qualification,LIU Hsing-Yin (TPE),KATO Miyu (JPN),LIU Hsing-Yin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,CHE Xiaoxi,CHEN Szu-Yu,4,1,"7,12,11,11,11|11,10,5,6,6",QR64,GRAND_SLAM,WS,2021,Qualification,CHEN Szu-Yu (TPE),CHE Xiaoxi (CHN),CHE Xiaoxi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MORI Sakura,NG Wing Nam,4,0,"11,11,11,11|8,7,1,7",QR64,GRAND_SLAM,WS,2021,Qualification,NG Wing Nam (HKG),MORI Sakura (JPN),MORI Sakura
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHANG Lily,BAJOR Natalia,4,0,"11,11,11,11|9,8,8,6",QR64,GRAND_SLAM,WS,2021,Qualification,BAJOR Natalia (POL),ZHANG Lily (USA),ZHANG Lily
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,MA Wenting,MESHREF Dina,4,2,"6,11,8,11,11,11|11,4,11,2,7,9",QR64,GRAND_SLAM,WS,2021,Qualification,MESHREF Dina (EGY),MA Wenting (NOR),MA Wenting
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,KIM Hayeong,LI Qian,4,3,"9,7,11,9,11,11,11|11,11,4,11,8,6,9",QR64,GRAND_SLAM,WS,2021,Qualification,KIM Hayeong (KOR),LI Qian (POL),KIM Hayeong
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,LEE Ho Ching,LEE En-Chi,4,1,"11,11,11,4,11|6,3,7,11,6",QR64,GRAND_SLAM,WS,2021,Qualification,LEE Ho Ching (HKG),LEE En-Chi (TPE),LEE Ho Ching
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,SOO Wai Yam,LEE Eunhye,4,0,"11,11,11,11|6,9,7,5",QR64,GRAND_SLAM,WS,2021,Qualification,LEE Eunhye (KOR),SOO Wai Yam (HKG),SOO Wai Yam
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WANG Yidi,PATKAR Madhurika,4,1,"11,11,11,10,11|7,6,5,12,9",QR64,GRAND_SLAM,WS,2021,Qualification,PATKAR Madhurika (IND),WANG Yidi (CHN),WANG Yidi
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,YOON Hyobin,DIAZ Adriana,4,2,"11,7,5,15,11,11|9,11,11,13,4,6",QR64,GRAND_SLAM,WS,2021,Qualification,DIAZ Adriana (PUR),YOON Hyobin (KOR),YOON Hyobin
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,JI Eunchae,HASHIMOTO Honoka,4,3,"12,15,11,10,11,9,13|14,13,2,12,3,11,11",QR64,GRAND_SLAM,WS,2021,Qualification,HASHIMOTO Honoka (JPN),JI Eunchae (KOR),JI Eunchae
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,WU Yang,ODO Satsuki,4,0,"11,15,11,11|2,13,8,4",QR64,GRAND_SLAM,WS,2021,Qualification,ODO Satsuki (JPN),WU Yang (CHN),WU Yang
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ZHANG Rui,KUKULKOVA Tatiana,4,0,"11,11,11,11|8,5,5,7",QR64,GRAND_SLAM,WS,2021,Qualification,ZHANG Rui (CHN),KUKULKOVA Tatiana (SVK),ZHANG Rui
ITTF World Tour Platinum Japan Open Sapporo 2019,2019-06-12,ANDO Minami,SURJAN Sabina,4,0,"11,11,11,11|3,7,4,8",QR64,GRAND_SLAM,WS,2021,Qualification,SURJAN Sabina (SRB),ANDO Minami (JPN),ANDO Minami
