tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LEVIS Bruno,MANCINI Eric,4,1,"11,11,5,12,11|9,9,11,10,7",,GRAND_SLAM,MS,768,Qualification,LEVIS Bruno (CHI),MANCINI Eric (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HUANG Sheng-Sheng/UEDA Jin,ROCHA Paulo/WIEST Renan,3,2,"11,9,7,11,11|7,11,11,3,5",QR32,GRAND_SLAM,MD,768,Qualification,HUANG Sheng-Sheng (TPE) / UEDA Jin (JPN),ROCHA Paulo (BRA) / WIEST Renan (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ACHANTA Sharath/SAHA Subhajit,HUANG Sheng-Sheng/UEDA Jin,3,0,"11,11,11|8,4,3",QR16,GRAND_SLAM,MD,768,Qualification,ACHANTA Sharath (IND) / SAHA Subhajit (IND),HUANG Sheng-Sheng (TPE) / UEDA Jin (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Tianyi/TANG Peng,MATSUDAIRA Kenji/OYA Hidetoshi,4,2,"11,9,11,11,9,11|9,11,2,7,11,7",QuarterFinal,GRAND_SLAM,MD,768,Main Draw,JIANG Tianyi (HKG) / TANG Peng (HKG),MATSUDAIRA Kenji (JPN) / OYA Hidetoshi (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Bumseob/KIM Kyungmin,JOUTI Eric/YAMADA Jeff,3,0,"12,11,11|3,7,8",QR32,GRAND_SLAM,MD,768,Qualification,KIM Bumseob (KOR) / KIM Kyungmin (KOR),JOUTI Eric (BRA) / YAMADA Jeff (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon/YOON Jaeyoung,LEVIS Bruno/SALAZAR Sergio,3,0,"12,11,11|6,7,6",QR16,GRAND_SLAM,MD,768,Qualification,KIM Junghoon (KOR) / YOON Jaeyoung (KOR),LEVIS Bruno (CHI) / SALAZAR Sergio (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HAN Jimin/KO Junhyung,APOLONIA Tiago/FREITAS Marcos,4,2,"15,5,11,11,5,11|13,11,7,5,11,6",R16,GRAND_SLAM,MD,768,Main Draw,HAN Jimin (KOR) / KO Junhyung (KOR),APOLONIA Tiago (POR) / FREITAS Marcos (POR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon/YOON Jaeyoung,LEBESSON Emmanuel/MATTENET Adrien,4,1,"11,8,11,11,11|4,11,7,7,7",QuarterFinal,GRAND_SLAM,MD,768,Main Draw,KIM Junghoon (KOR) / YOON Jaeyoung (KOR),LEBESSON Emmanuel (FRA) / MATTENET Adrien (FRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CHUANG Chih-Yuan/WU Chih-Chi,HAN Jimin/KO Junhyung,4,2,"9,11,7,11,11,11|11,7,11,9,4,8",QuarterFinal,GRAND_SLAM,MD,768,Main Draw,CHUANG Chih-Yuan (TPE) / WU Chih-Chi (TPE),HAN Jimin (KOR) / KO Junhyung (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon/YOON Jaeyoung,JIANG Tianyi/TANG Peng,4,3,"9,11,7,11,10,11,11|11,7,11,8,12,8,5",SemiFinal,GRAND_SLAM,MD,768,Main Draw,KIM Junghoon (KOR) / YOON Jaeyoung (KOR),JIANG Tianyi (HKG) / TANG Peng (HKG)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon/YOON Jaeyoung,CHUANG Chih-Yuan/WU Chih-Chi,4,3,"7,11,4,11,13,9,11|11,8,11,4,11,11,7",Final,GRAND_SLAM,MD,768,Main Draw,KIM Junghoon (KOR) / YOON Jaeyoung (KOR),CHUANG Chih-Yuan (TPE) / WU Chih-Chi (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,APOLONIA Tiago/FREITAS Marcos,KIM Bumseob/KIM Kyungmin,3,0,"12,11,11|6,5,7",QR16,GRAND_SLAM,MD,768,Qualification,APOLONIA Tiago (POR) / FREITAS Marcos (POR),KIM Bumseob (KOR) / KIM Kyungmin (KOR)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LIVENTSOV Alexey/RUBTSOV Igor,KAN Yo/YOSHIDA Kaii,4,3,"8,11,11,10,9,13,11|11,4,8,12,11,11,3",R16,GRAND_SLAM,MD,768,Main Draw,LIVENTSOV Alexey (RUS) / RUBTSOV Igor (RUS),KAN Yo (JPN) / YOSHIDA Kaii (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,MONTEIRO Thiago/TSUBOI Gustavo,LIVENTSOV Alexey/RUBTSOV Igor,4,3,"11,9,11,5,7,11,11|9,11,3,11,11,6,7",QuarterFinal,GRAND_SLAM,MD,768,Main Draw,MONTEIRO Thiago (BRA) / TSUBOI Gustavo (BRA),LIVENTSOV Alexey (RUS) / RUBTSOV Igor (RUS)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Junghoon/YOON Jaeyoung,GAO Ning/YANG Zi,4,2,"10,5,11,13,12,11|12,11,4,11,10,2",R16,GRAND_SLAM,MD,768,Main Draw,KIM Junghoon (KOR) / YOON Jaeyoung (KOR),GAO Ning (SGP) / YANG Zi (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,AGATA Leine/FUKUSHIMA Karin,KAWAI Katia/KUMAHARA Luca,3,0,"12,11,11|3,4,5",QR16,GRAND_SLAM,WD,768,Qualification,AGATA Leine (BRA) / FUKUSHIMA Karin (BRA),KAWAI Katia (BRA) / KUMAHARA Luca (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,GUI Lin/MIZOBUCHI Livia,DIAS Priscila/RODRIGUES Jane,3,0,"11,11,11|4,2,3",QR16,GRAND_SLAM,WD,768,Qualification,GUI Lin (BRA) / MIZOBUCHI Livia (BRA),DIAS Priscila (BRA) / RODRIGUES Jane (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei/SUN Beibei,IKEIZUMI Claudia/MURASHIGE Carina,4,0,"11,11,11,11|3,7,4,5",R16,GRAND_SLAM,WD,768,Main Draw,LI Jiawei (SGP) / SUN Beibei (SGP),IKEIZUMI Claudia (BRA) / MURASHIGE Carina (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HIRANO Sayaka/HIURA Reiko,DURAN Blanca/ROJAS Karen,4,0,"11,11,11,11|6,3,6,4",R16,GRAND_SLAM,WD,768,Main Draw,HIRANO Sayaka (JPN) / HIURA Reiko (JPN),DURAN Blanca (CHI) / ROJAS Karen (CHI)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Huajun/TIE Yana,AGATA Leine/FUKUSHIMA Karin,4,0,"11,11,11,12|1,3,5,10",R16,GRAND_SLAM,WD,768,Main Draw,JIANG Huajun (HKG) / TIE Yana (HKG),AGATA Leine (BRA) / FUKUSHIMA Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,JIANG Huajun/TIE Yana,ETSUZAKI Ayumi/ISHIGAKI Yuka,4,3,"11,6,11,11,7,3,11|5,11,3,5,11,11,5",QuarterFinal,GRAND_SLAM,WD,768,Main Draw,JIANG Huajun (HKG) / TIE Yana (HKG),ETSUZAKI Ayumi (JPN) / ISHIGAKI Yuka (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei/SUN Beibei,JIANG Huajun/TIE Yana,4,1,"11,11,4,12,11|9,7,11,10,6",SemiFinal,GRAND_SLAM,WD,768,Main Draw,LI Jiawei (SGP) / SUN Beibei (SGP),JIANG Huajun (HKG) / TIE Yana (HKG)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,CHAKRABORTY Kasturi/KUMARESAN Shamini,DA SILVA RODRIGUES Lizie/FONTANA Livia,3,0,"15,11,11|12,5,6",QR16,GRAND_SLAM,WD,768,Qualification,CHAKRABORTY Kasturi (IND) / KUMARESAN Shamini (IND),DA SILVA RODRIGUES Lizie (BRA) / FONTANA Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,FENG Tianwei/YU Mengyu,CHAKRABORTY Kasturi/KUMARESAN Shamini,4,2,"7,11,8,11,11,11|11,7,11,4,6,5",R16,GRAND_SLAM,WD,768,Main Draw,FENG Tianwei (SGP) / YU Mengyu (SGP),CHAKRABORTY Kasturi (IND) / KUMARESAN Shamini (IND)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,ETSUZAKI Ayumi/ISHIGAKI Yuka,NONAKA Mariany/SAKO Karin,4,0,"11,11,11,11|3,2,7,8",R16,GRAND_SLAM,WD,768,Main Draw,ETSUZAKI Ayumi (JPN) / ISHIGAKI Yuka (JPN),NONAKA Mariany (BRA) / SAKO Karin (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KONISHI An/WAKAMIYA Misako,JEON Hyekyung/YU Mei-Ju,4,1,"11,11,11,7,11|7,8,8,11,7",R16,GRAND_SLAM,WD,768,Main Draw,KONISHI An (JPN) / WAKAMIYA Misako (JPN),JEON Hyekyung (KOR) / YU Mei-Ju (TPE)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,LI Jiawei/SUN Beibei,KONISHI An/WAKAMIYA Misako,4,0,"11,11,11,11|6,3,7,5",QuarterFinal,GRAND_SLAM,WD,768,Main Draw,LI Jiawei (SGP) / SUN Beibei (SGP),KONISHI An (JPN) / WAKAMIYA Misako (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah/PARK Miyoung,SILVA Ligia/YAMADA Jessica,4,0,"11,11,11,11|6,5,6,2",R16,GRAND_SLAM,WD,768,Main Draw,KIM Kyungah (KOR) / PARK Miyoung (KOR),SILVA Ligia (BRA) / YAMADA Jessica (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah/PARK Miyoung,FENG Tianwei/YU Mengyu,4,0,"11,11,12,11|4,8,10,7",QuarterFinal,GRAND_SLAM,WD,768,Main Draw,KIM Kyungah (KOR) / PARK Miyoung (KOR),FENG Tianwei (SGP) / YU Mengyu (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah/PARK Miyoung,HIRANO Sayaka/HIURA Reiko,4,2,"11,11,8,10,11,11|9,9,11,12,6,5",SemiFinal,GRAND_SLAM,WD,768,Main Draw,KIM Kyungah (KOR) / PARK Miyoung (KOR),HIRANO Sayaka (JPN) / HIURA Reiko (JPN)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,KIM Kyungah/PARK Miyoung,LI Jiawei/SUN Beibei,4,2,"11,12,10,11,11,11|7,14,12,7,4,2",Final,GRAND_SLAM,WD,768,Main Draw,KIM Kyungah (KOR) / PARK Miyoung (KOR),LI Jiawei (SGP) / SUN Beibei (SGP)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HSU Hui-Tsun/LEE I-Chen,GUI Lin/MIZOBUCHI Livia,4,0,"11,11,11,11|8,8,5,3",R16,GRAND_SLAM,WD,768,Main Draw,HSU Hui-Tsun (TPE) / LEE I-Chen (TPE),GUI Lin (BRA) / MIZOBUCHI Livia (BRA)
Pro Tour Brazil Open Belo Horizonte 2008,2008-04-17,HIRANO Sayaka/HIURA Reiko,HSU Hui-Tsun/LEE I-Chen,4,0,"11,11,11,11|6,9,3,7",QuarterFinal,GRAND_SLAM,WD,768,Main Draw,HIRANO Sayaka (JPN) / HIURA Reiko (JPN),HSU Hui-Tsun (TPE) / LEE I-Chen (TPE)
