tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
World Table Tennis Championships Suzhou 2015,2015-04-26,FAN Zhendong/ZHOU Yu,MATSUDAIRA Kenta/NIWA Koki,4,0,"11,11,11,11|6,7,6,6",SF,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,FAN Zhendong (CHN) / ZHOU Yu (CHN),MATSUDAIRA Kenta (JPN) / NIWA Koki (JPN)
World Table Tennis Championships Suzhou 2015,2015-04-26,XU Xin/ZHANG Jike,FAN Zhendong/ZHOU Yu,4,2,"12,11,11,9,11,11|14,7,9,11,7,9",F,WORLD_CHAMPIONSHIPS,MD,326,Main Draw,XU Xin (CHN) / ZHANG Jike (CHN),FAN Zhendong (CHN) / ZHOU Yu (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,KHETKHUAN Tamolwan/PARANANG Orawan,4,1,"11,11,10,11,11|7,4,12,8,7",R64,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),KHETKHUAN Tamolwan (THA) / PARANANG Orawan (THA)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,KOMWONG Nanthana/LI Xiaodan,4,0,"11,13,11,11|7,11,3,5",R32,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),KOMWONG Nanthana (THA) / LI Xiaodan (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,DOLGIKH Maria/MIKHAILOVA Polina,4,0,"13,12,11,11|11,10,2,5",R16,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),DOLGIKH Maria (RUS) / MIKHAILOVA Polina (RUS)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,CHENG I-Ching/LEE I-Chen,4,0,"11,11,11,11|9,8,5,3",QF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),CHENG I-Ching (TPE) / LEE I-Chen (TPE)
World Table Tennis Championships Suzhou 2015,2015-04-26,DING Ning/LI Xiaoxia,LI Jie/LI Qian,4,0,"11,11,11,11|5,2,7,6",SF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,DING Ning (CHN) / LI Xiaoxia (CHN),LI Jie (NED) / LI Qian (POL)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,FENG Tianwei/YU Mengyu,4,1,"9,11,11,11,11|11,9,6,7,4",SF,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),FENG Tianwei (SGP) / YU Mengyu (SGP)
World Table Tennis Championships Suzhou 2015,2015-04-26,LIU Shiwen/ZHU Yuling,DING Ning/LI Xiaoxia,4,3,"8,11,3,11,11,11,11|11,8,11,8,13,8,8",F,WORLD_CHAMPIONSHIPS,WD,326,Main Draw,LIU Shiwen (CHN) / ZHU Yuling (MAC),DING Ning (CHN) / LI Xiaoxia (CHN)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEBESSON Emmanuel/CHEN Meng,ABBAS Saleem/ANSARI Aisha,4,0,"11,11,11,11|1,1,2,4",R128,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,LEBESSON Emmanuel (FRA) / CHEN Meng (CHN),ABBAS Saleem (PAK) / ANSARI Aisha (PAK)
World Table Tennis Championships Suzhou 2015,2015-04-26,LEBESSON Emmanuel/CHEN Meng,GLOD Eric/DE NUTTE Sarah,4,0,"11,11,11,11|3,5,5,2",R64,WORLD_CHAMPIONSHIPS,XD,326,Main Draw,LEBESSON Emmanuel (FRA) / CHEN Meng (CHN),GLOD Eric (LUX) / DE NUTTE Sarah (LUX)
