tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Xingtong,JEON Jihee,4,0,"11,11,11,11|6,8,2,4",QuarterFinal,GRAND_SLAM,WS,2024,Main Draw,CHEN Xingtong (CHN),JEON Jihee (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,MIZUTANI Jun,MA Te,3,1,"11,12,9,11|8,10,11,9",Final,GRAND_SLAM,XD,2024,Main Draw,MA Te (CHN),MIZUTANI Jun (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ZHAO Zihao,OVTCHAROV Dimitrij,4,2,"11,12,8,11,5,11|6,10,11,6,11,9",QuarterFinal,GRAND_SLAM,MS,2024,Main Draw,ZHAO Zihao (CHN),OVTCHAROV Dimitrij (GER)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HARIMOTO Tomokazu,JIN Takuya,4,1,"11,11,14,7,13|7,6,12,11,11",QuarterFinal,GRAND_SLAM,MS,2024,Main Draw,HARIMOTO Tomokazu (JPN),JIN Takuya (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,FREITAS Marcos,CHUANG Chih-Yuan,4,3,"3,11,11,11,4,11,11|11,2,3,13,11,5,9",QuarterFinal,GRAND_SLAM,MS,2024,Main Draw,CHUANG Chih-Yuan (TPE),FREITAS Marcos (POR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,ARUNA Quadri,MIZUTANI Jun,4,3,"8,11,6,12,11,4,13|11,9,11,10,9,11,11",QuarterFinal,GRAND_SLAM,MS,2024,Main Draw,MIZUTANI Jun (JPN),ARUNA Quadri (NGR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,GU Yuting,HIRANO Miu,3,0,"11,11,11|7,6,5",Final,GRAND_SLAM,WD,2024,Main Draw,GU Yuting (CHN),HIRANO Miu (JPN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,JEOUNG Youngsik,UDA Yukiya,3,1,"4,11,11,11|11,4,9,8",Final,GRAND_SLAM,MD,2024,Main Draw,UDA Yukiya (JPN),JEOUNG Youngsik (KOR)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,HE Zhuojia,WU Yang,4,2,"11,11,11,13,3,11|9,8,8,15,11,8",SemiFinal,GRAND_SLAM,WS,2024,Main Draw,HE Zhuojia (CHN),WU Yang (CHN)
ITTF World Tour Bulgarian Open Panagyurishte 2019,2019-08-13,CHEN Xingtong,ITO Mima,4,3,"6,11,11,9,9,11,11|11,4,7,11,11,6,7",SemiFinal,GRAND_SLAM,WS,2024,Main Draw,CHEN Xingtong (CHN),ITO Mima (JPN)
