tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,RASHED Rashed,ALIMKULOV Marlen,3,1,"11,9,11,11|5,11,4,6",GROUP,OTHER,MT,2994,Main Draw,RASHED Rashed (BRN),ALIMKULOV Marlen (KGZ),RASHED Rashed
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,MURTADHA Husain,GAIPOV Eldiiarbek,3,0,"11,11,11|7,7,6",GROUP,OTHER,MT,2994,Main Draw,MURTADHA Husain (BRN),GAIPOV Eldiiarbek (KGZ),MURTADHA Husain
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,TESHABOEV Kutbidillo,AL BALUSHI Muhannad,3,2,"4,3,11,11,11|11,11,7,7,3",GROUP,OTHER,MT,2994,Main Draw,TESHABOEV Kutbidillo (UZB),AL BALUSHI Muhannad (OMA),TESHABOEV Kutbidillo
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,ISKANDAROV Shokhrukh,AL GHASSANI Ghassan,3,0,"11,11,11|5,2,3",GROUP,OTHER,MT,2994,Main Draw,ISKANDAROV Shokhrukh (UZB),AL GHASSANI Ghassan (OMA),ISKANDAROV Shokhrukh
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,NURMONOV Temurbek,AL MUTAWA Mohammed,3,0,"11,11,11|4,3,2",GROUP,OTHER,MT,2994,Main Draw,NURMONOV Temurbek (UZB),AL MUTAWA Mohammed (OMA),NURMONOV Temurbek
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,CHENG Hsien-Tzu,NAZIM Aishath,3,0,"11,11,11|0,6,6",GROUP,OTHER,WT,2994,Main Draw,CHENG Hsien-Tzu (TPE),NAZIM Aishath (MDV),CHENG Hsien-Tzu
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LI Yu-Jhun,ALI Fathimath,3,0,"11,11,11|7,7,4",GROUP,OTHER,WT,2994,Main Draw,LI Yu-Jhun (TPE),ALI Fathimath (MDV),LI Yu-Jhun
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,WANG Yi-Ju,MISHKA Mohamed Ibrahim,3,0,"11,11,12|3,8,10",GROUP,OTHER,WT,2994,Main Draw,WANG Yi-Ju (TPE),MISHKA Mohamed Ibrahim (MDV),WANG Yi-Ju
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KAMALOVA Arujan,KUDUSOVA Saida,3,0,"11,11,11|4,5,1",GROUP,OTHER,WT,2994,Main Draw,KAMALOVA Arujan (UZB),KUDUSOVA Saida (KGZ),KAMALOVA Arujan
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,MAGDIEVA Markhabo,ABDIMITALIPOVA Ramida,3,0,"11,11,11|7,8,5",GROUP,OTHER,WT,2994,Main Draw,MAGDIEVA Markhabo (UZB),ABDIMITALIPOVA Ramida (KGZ),MAGDIEVA Markhabo
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,TOJIOKHUNOVA Nasibakhon,ULANBEKOVA Aiana,3,0,"11,11,13|6,7,11",GROUP,OTHER,WT,2994,Main Draw,TOJIOKHUNOVA Nasibakhon (UZB),ULANBEKOVA Aiana (KGZ),TOJIOKHUNOVA Nasibakhon
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,CRUZ Kheith,GUSTHIGHGHA WADU Maneesha Shalindi,3,0,"11,11,11|2,1,5",GROUP,OTHER,WT,2994,Main Draw,CRUZ Kheith (PHI),GUSTHIGHGHA WADU Maneesha Shalindi (SRI),CRUZ Kheith
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LAUDE Angelou Joyce,KULAPPUWAWADU Lesanya,3,0,"11,11,11|7,7,3",GROUP,OTHER,WT,2994,Main Draw,LAUDE Angelou Joyce (PHI),KULAPPUWAWADU Lesanya (SRI),LAUDE Angelou Joyce
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,FADOL Rose Jean,HALAWATHAGE Shamalsha,3,0,"11,11,12|4,4,10",GROUP,OTHER,WT,2994,Main Draw,FADOL Rose Jean (PHI),HALAWATHAGE Shamalsha (SRI),FADOL Rose Jean
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,PYON Song Gyong,MUNKHBAT Undram,3,0,"11,11,11|1,3,6",GROUP,OTHER,WT,2994,Main Draw,PYON Song Gyong (PRK),MUNKHBAT Undram (MGL),PYON Song Gyong
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,KIM Kum Yong,BATMUNKH Bolor-Erdene,3,0,"11,11,11|7,6,4",GROUP,OTHER,WT,2994,Main Draw,KIM Kum Yong (PRK),BATMUNKH Bolor-Erdene (MGL),KIM Kum Yong
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,PAK Su Gyong,BAT-ERDENE Egshiglen,3,0,"11,11,11|7,6,5",GROUP,OTHER,WT,2994,Main Draw,PAK Su Gyong (PRK),BAT-ERDENE Egshiglen (MGL),PAK Su Gyong
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LYNE Karen,FAWAD Hoor,3,0,"11,11,11|2,5,4",GROUP,OTHER,WT,2994,Main Draw,LYNE Karen (MAS),FAWAD Hoor (PAK),LYNE Karen
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,TEE Ai Xin,HASSAN Haiqa,3,0,"11,11,11|2,3,3",GROUP,OTHER,WT,2994,Main Draw,TEE Ai Xin (MAS),HASSAN Haiqa (PAK),TEE Ai Xin
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,LI YING Im,KHAN Kalsoom,3,0,"11,11,11|3,3,3",GROUP,OTHER,WT,2994,Main Draw,LI YING Im (MAS),KHAN Kalsoom (PAK),LI YING Im
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,GERASSIMENKO Kirill,HAM Yu Song,3,2,"11,4,12,11,11|4,11,14,6,8",GROUP,OTHER,MT,2994,Main Draw,GERASSIMENKO Kirill (KAZ),HAM Yu Song (PRK),GERASSIMENKO Kirill
27th ITTF-Asian Table Tennis Championships 2024,2024-10-07,RI Jong Sik,KURMANGALIYEV Alan,3,2,"11,7,11,6,11|4,11,3,11,8",GROUP,OTHER,MT,2994,Main Draw,RI Jong Sik (PRK),KURMANGALIYEV Alan (KAZ),RI Jong Sik
