tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour German Open Bremen 2015,2015-03-18,ITO Mima,ZHOU Yihan,3,0,"11,11,11|7,8,4",R16,GRAND_SLAM,U21WS,5,Main Draw,ITO Mima (JPN),ZHOU Yihan (SGP),ITO Mima
GAC Group World Tour German Open Bremen 2015,2015-03-18,HAYATA Hina,LEE Zion,3,1,"6,14,13,11|11,12,11,8",R16,GRAND_SLAM,U21WS,5,Main Draw,LEE Zion (KOR),HAYATA Hina (JPN),HAYATA Hina
GAC Group World Tour German Open Bremen 2015,2015-03-18,SZOCS Bernadette,MAEDA Miyu,3,2,"11,14,10,11,11|7,12,12,13,4",R16,GRAND_SLAM,U21WS,5,Main Draw,MAEDA Miyu (JPN),SZOCS Bernadette (ROU),SZOCS Bernadette
GAC Group World Tour German Open Bremen 2015,2015-03-18,HIRANO Miu,SOO Wai Yam,3,0,"11,11,11|6,5,5",R16,GRAND_SLAM,U21WS,5,Main Draw,SOO Wai Yam (HKG),HIRANO Miu (JPN),HIRANO Miu
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,LI Ching Wan,3,0,"11,11,11|5,7,5",R16,GRAND_SLAM,U21WS,5,Main Draw,SOLJA Petrissa (GER),LI Ching Wan (HKG),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,LIN Ye,HAMAMOTO Yui,3,2,"11,5,13,11,11|8,11,15,8,9",R16,GRAND_SLAM,U21WS,5,Main Draw,HAMAMOTO Yui (AUT),LIN Ye (CAN),LIN Ye
GAC Group World Tour German Open Bremen 2015,2015-03-18,KATO Miyu,RAKOVAC Lea,3,0,"11,11,11|6,4,7",R16,GRAND_SLAM,U21WS,5,Main Draw,KATO Miyu (JPN),RAKOVAC Lea (CRO),KATO Miyu
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOO Hoi Kem,MATSUDAIRA Shiho,3,1,"11,11,9,11|4,7,11,5",R16,GRAND_SLAM,U21WS,5,Main Draw,MATSUDAIRA Shiho (JPN),DOO Hoi Kem (HKG),DOO Hoi Kem
GAC Group World Tour German Open Bremen 2015,2015-03-18,HAYATA Hina,ITO Mima,3,2,"8,11,8,11,13|11,8,11,9,11",QF,GRAND_SLAM,U21WS,5,Main Draw,ITO Mima (JPN),HAYATA Hina (JPN),HAYATA Hina
GAC Group World Tour German Open Bremen 2015,2015-03-18,HIRANO Miu,SZOCS Bernadette,3,0,"12,11,11|10,6,7",QF,GRAND_SLAM,U21WS,5,Main Draw,SZOCS Bernadette (ROU),HIRANO Miu (JPN),HIRANO Miu
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,LIN Ye,3,0,"11,11,11|4,7,7",QF,GRAND_SLAM,U21WS,5,Main Draw,SOLJA Petrissa (GER),LIN Ye (CAN),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,DOO Hoi Kem,KATO Miyu,3,1,"11,11,9,11|8,8,11,2",QF,GRAND_SLAM,U21WS,5,Main Draw,KATO Miyu (JPN),DOO Hoi Kem (HKG),DOO Hoi Kem
GAC Group World Tour German Open Bremen 2015,2015-03-18,HAYATA Hina,HIRANO Miu,3,1,"14,12,12,12|16,10,10,10",SF,GRAND_SLAM,U21WS,5,Main Draw,HAYATA Hina (JPN),HIRANO Miu (JPN),HAYATA Hina
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,DOO Hoi Kem,3,2,"11,11,1,8,11|8,6,11,11,8",SF,GRAND_SLAM,U21WS,5,Main Draw,SOLJA Petrissa (GER),DOO Hoi Kem (HKG),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,SOLJA Petrissa,HAYATA Hina,3,0,"11,11,11|9,1,5",F,GRAND_SLAM,U21WS,5,Main Draw,HAYATA Hina (JPN),SOLJA Petrissa (GER),SOLJA Petrissa
GAC Group World Tour German Open Bremen 2015,2015-03-18,JEOUNG Youngsik/KIM Minseok,MA Long/ZHANG Jike,3,2,"13,11,11,13,11|15,8,7,15,8",QF,GRAND_SLAM,MD,5,Main Draw,JEOUNG Youngsik (KOR) / KIM Minseok (KOR),MA Long (CHN) / ZHANG Jike (CHN),JEOUNG Youngsik
GAC Group World Tour German Open Bremen 2015,2015-03-18,SHAN Xiaona/SOLJA Petrissa,LIU Jia/VACENOVSKA Iveta,3,2,"11,11,9,8,11|3,9,11,11,9",SF,GRAND_SLAM,WD,5,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),LIU Jia (AUT) / VACENOVSKA Iveta (CZE),SHAN Xiaona
GAC Group World Tour German Open Bremen 2015,2015-03-18,KUZMIN Fedor/VLASOV Grigory,FILUS Ruwen/WALTHER Ricardo,3,1,"11,11,8,11|9,7,11,8",R16,GRAND_SLAM,MD,5,Main Draw,KUZMIN Fedor (RUS) / VLASOV Grigory (RUS),FILUS Ruwen (GER) / WALTHER Ricardo (GER),KUZMIN Fedor
GAC Group World Tour German Open Bremen 2015,2015-03-18,BOLL Timo/FRANZISKA Patrick,HO Kwan Kit/LI Hon Ming,3,0,"11,11,11|9,4,7",R16,GRAND_SLAM,MD,5,Main Draw,BOLL Timo (GER) / FRANZISKA Patrick (GER),HO Kwan Kit (HKG) / LI Hon Ming (HKG),BOLL Timo
GAC Group World Tour German Open Bremen 2015,2015-03-18,BOLL Timo/FRANZISKA Patrick,CHIANG Hung-Chieh/HUANG Sheng-Sheng,3,0,"11,11,11|6,8,5",QF,GRAND_SLAM,MD,5,Main Draw,BOLL Timo (GER) / FRANZISKA Patrick (GER),CHIANG Hung-Chieh (TPE) / HUANG Sheng-Sheng (TPE),BOLL Timo
GAC Group World Tour German Open Bremen 2015,2015-03-18,SHAN Xiaona/SOLJA Petrissa,CHE Xiaoxi/GU Ruochen,3,2,"11,11,10,9,11|7,7,12,11,9",R16,GRAND_SLAM,WD,5,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),CHE Xiaoxi (CHN) / GU Ruochen (CHN),SHAN Xiaona
GAC Group World Tour German Open Bremen 2015,2015-03-18,SHAN Xiaona/SOLJA Petrissa,NOSKOVA Yana/PROKHOROVA Yulia,3,0,"11,11,11|9,8,7",QF,GRAND_SLAM,WD,5,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),SHAN Xiaona
GAC Group World Tour German Open Bremen 2015,2015-03-18,SHAN Xiaona/SOLJA Petrissa,DOO Hoi Kem/LEE Ho Ching,3,0,"11,11,11|6,6,9",F,GRAND_SLAM,WD,5,Main Draw,SHAN Xiaona (GER) / SOLJA Petrissa (GER),DOO Hoi Kem (HKG) / LEE Ho Ching (HKG),SHAN Xiaona
