tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour Kuwait Open Kuwait City 2016,2016-03-16,MA Long,GERALDO Joao,4,0,"11,11,11,13|6,5,6,11",R32,GRAND_SLAM,MS,27,Main Draw,MA Long (CHN),GERALDO Joao (POR),MA Long
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JEOUNG Youngsik/LEE Sang Su,ASSAR Khalid/ELBEIALI Mohamed,3,0,"11,11,11|5,7,5",R16,GRAND_SLAM,MD,27,Main Draw,JEOUNG Youngsik (KOR) / LEE Sang Su (KOR),ASSAR Khalid (EGY) / ELBEIALI Mohamed (EGY),JEOUNG Youngsik
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHUANG Chih-Yuan/HUANG Sheng-Sheng,FLORE Tristan/GAUZY Simon,3,1,"5,11,11,11|11,8,8,8",R16,GRAND_SLAM,MD,27,Main Draw,CHUANG Chih-Yuan (TPE) / HUANG Sheng-Sheng (TPE),FLORE Tristan (FRA) / GAUZY Simon (FRA),CHUANG Chih-Yuan
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit/TANG Peng,LIM Jonghoon/PARK Ganghyeon,3,0,"11,11,11|4,4,8",R16,GRAND_SLAM,MD,27,Main Draw,HO Kwan Kit (HKG) / TANG Peng (HKG),LIM Jonghoon (KOR) / PARK Ganghyeon (KOR),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JIANG Tianyi/WONG Chun Ting,ALKHADRAWI Ali/BU SHULAYBI Abdulaziz,3,0,"11,11,11|5,5,6",R16,GRAND_SLAM,MD,27,Main Draw,JIANG Tianyi (HKG) / WONG Chun Ting (HKG),ALKHADRAWI Ali (KSA) / BU SHULAYBI Abdulaziz (KSA),JIANG Tianyi
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit/TANG Peng,LIVENTSOV Alexey/PAIKOV Mikhail,3,2,"11,12,12,9,12|8,10,14,11,10",QF,GRAND_SLAM,MD,27,Main Draw,HO Kwan Kit (HKG) / TANG Peng (HKG),LIVENTSOV Alexey (RUS) / PAIKOV Mikhail (RUS),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JEOUNG Youngsik/LEE Sang Su,JIANG Tianyi/WONG Chun Ting,3,0,"11,13,11|2,11,6",QF,GRAND_SLAM,MD,27,Main Draw,JEOUNG Youngsik (KOR) / LEE Sang Su (KOR),JIANG Tianyi (HKG) / WONG Chun Ting (HKG),JEOUNG Youngsik
World Tour Kuwait Open Kuwait City 2016,2016-03-16,HO Kwan Kit/TANG Peng,JEOUNG Youngsik/LEE Sang Su,3,0,"12,13,11|10,11,8",SF,GRAND_SLAM,MD,27,Main Draw,HO Kwan Kit (HKG) / TANG Peng (HKG),JEOUNG Youngsik (KOR) / LEE Sang Su (KOR),HO Kwan Kit
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FUKUHARA Ai/ITO Mima,KOMWONG Nanthana/SAWETTABUT Suthasini,3,1,"11,10,11,11|9,12,6,1",R16,GRAND_SLAM,WD,27,Main Draw,FUKUHARA Ai (JPN) / ITO Mima (JPN),KOMWONG Nanthana (THA) / SAWETTABUT Suthasini (THA),FUKUHARA Ai
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FUKUHARA Ai/ITO Mima,DOO Hoi Kem/TIE Yana,3,2,"11,8,2,11,11|2,11,11,7,6",QF,GRAND_SLAM,WD,27,Main Draw,FUKUHARA Ai (JPN) / ITO Mima (JPN),DOO Hoi Kem (HKG) / TIE Yana (HKG),FUKUHARA Ai
World Tour Kuwait Open Kuwait City 2016,2016-03-16,LIN Ye/YU Mengyu,NOSKOVA Yana/PROKHOROVA Yulia,3,0,"11,11,11|4,4,4",R16,GRAND_SLAM,WD,27,Main Draw,LIN Ye (CAN) / YU Mengyu (SGP),NOSKOVA Yana (RUS) / PROKHOROVA Yulia (RUS),LIN Ye
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JIANG Huajun/LEE Ho Ching,LIN Ye/YU Mengyu,3,1,"11,11,10,11|6,7,12,7",QF,GRAND_SLAM,WD,27,Main Draw,JIANG Huajun (HKG) / LEE Ho Ching (HKG),LIN Ye (CAN) / YU Mengyu (SGP),JIANG Huajun
World Tour Kuwait Open Kuwait City 2016,2016-03-16,FAN Zhendong/MA Long,KARAKASEVIC Aleksandar/TOKIC Bojan,3,0,"11,11,11|5,8,8",R16,GRAND_SLAM,MD,27,Main Draw,FAN Zhendong (CHN) / MA Long (CHN),KARAKASEVIC Aleksandar (SRB) / TOKIC Bojan (SLO),FAN Zhendong
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHENG I-Ching/HUANG Yi-Hua,SHAN Xiaona/SOLJA Petrissa,3,1,"11,6,11,11|9,11,8,4",R16,GRAND_SLAM,WD,27,Main Draw,CHENG I-Ching (TPE) / HUANG Yi-Hua (TPE),SHAN Xiaona (GER) / SOLJA Petrissa (GER),CHENG I-Ching
World Tour Kuwait Open Kuwait City 2016,2016-03-16,CHEN Szu-Yu/LEE I-Chen,FENG Tianwei/ZHOU Yihan,3,2,"11,8,11,7,11|8,11,8,11,5",R16,GRAND_SLAM,WD,27,Main Draw,CHEN Szu-Yu (TPE) / LEE I-Chen (TPE),FENG Tianwei (SGP) / ZHOU Yihan (SGP),CHEN Szu-Yu
World Tour Kuwait Open Kuwait City 2016,2016-03-16,JIANG Huajun/LEE Ho Ching,HU Melek/MENGE Merve,3,1,"4,11,11,11|11,8,4,9",R16,GRAND_SLAM,WD,27,Main Draw,JIANG Huajun (HKG) / LEE Ho Ching (HKG),HU Melek (TUR) / MENGE Merve (TUR),JIANG Huajun
