tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Tour India Open New Delhi 2017,2017-02-14,SALIFOU Abdel-Kader,BU SHULAYBI Abdulaziz,4,0,"11,11,11,11|4,6,5,5",,GRAND_SLAM,MS,455,Qualification,SALIFOU Abdel-Kader (BEN),BU SHULAYBI Abdulaziz (KSA),SALIFOU Abdel-Kader
World Tour India Open New Delhi 2017,2017-02-14,AKKUZU Can,ALAMRI Abdulaziz,4,0,"11,11,11,11|8,6,4,4",,GRAND_SLAM,MS,455,Qualification,AKKUZU Can (FRA),ALAMRI Abdulaziz (KSA),AKKUZU Can
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,SAHA Subhajit,4,0,"11,11,11,11|7,9,8,7",,GRAND_SLAM,MS,455,Qualification,SAKAI Asuka (JPN),SAHA Subhajit (IND),SAKAI Asuka
World Tour India Open New Delhi 2017,2017-02-14,AKKUZU Can,SAKAI Asuka,4,0,"11,11,11,11|9,3,9,8",,GRAND_SLAM,MS,455,Qualification,AKKUZU Can (FRA),SAKAI Asuka (JPN),AKKUZU Can
World Tour India Open New Delhi 2017,2017-02-14,SAHA Subhajit,ALAMRI Abdulaziz,4,0,"11,11,11,11|3,6,4,7",,GRAND_SLAM,MS,455,Qualification,ALAMRI Abdulaziz (KSA),SAHA Subhajit (IND),SAHA Subhajit
World Tour India Open New Delhi 2017,2017-02-14,AKKUZU Can,SAHA Subhajit,4,0,"11,11,11,11|4,9,7,5",,GRAND_SLAM,MS,455,Qualification,AKKUZU Can (FRA),SAHA Subhajit (IND),AKKUZU Can
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,ALAMRI Abdulaziz,4,0,"11,11,11,11|7,6,2,3",,GRAND_SLAM,MS,455,Qualification,SAKAI Asuka (JPN),ALAMRI Abdulaziz (KSA),SAKAI Asuka
World Tour India Open New Delhi 2017,2017-02-14,OVTCHAROV Dimitrij,AL-ABBAD Abdulaziz,4,0,"11,11,11,11|3,5,4,2",R32,GRAND_SLAM,MS,455,Main Draw,OVTCHAROV Dimitrij (GER),AL-ABBAD Abdulaziz (KSA),OVTCHAROV Dimitrij
World Tour India Open New Delhi 2017,2017-02-14,GERALDO Joao,MENGEL Steffen,4,0,"11,13,11,11|9,11,7,7",R32,GRAND_SLAM,MS,455,Main Draw,GERALDO Joao (POR),MENGEL Steffen (GER),GERALDO Joao
World Tour India Open New Delhi 2017,2017-02-14,MORIZONO Masataka,GNANASEKARAN Sathiyan,4,3,"11,12,7,8,8,12,11|9,10,11,11,11,10,8",R32,GRAND_SLAM,MS,455,Main Draw,MORIZONO Masataka (JPN),GNANASEKARAN Sathiyan (IND),MORIZONO Masataka
World Tour India Open New Delhi 2017,2017-02-14,OSHIMA Yuya,JANCARIK Lubomir,4,1,"11,9,13,18,11|8,11,11,16,2",R32,GRAND_SLAM,MS,455,Main Draw,JANCARIK Lubomir (CZE),OSHIMA Yuya (JPN),OSHIMA Yuya
World Tour India Open New Delhi 2017,2017-02-14,JIANG Tianyi,DUDA Benedikt,4,3,"5,4,6,11,11,11,11|11,11,11,5,5,3,9",R32,GRAND_SLAM,MS,455,Main Draw,DUDA Benedikt (GER),JIANG Tianyi (HKG),JIANG Tianyi
World Tour India Open New Delhi 2017,2017-02-14,WALTHER Ricardo,GHOSH Soumyajit,4,3,"11,9,11,8,3,11,11|6,11,5,11,11,6,6",R32,GRAND_SLAM,MS,455,Main Draw,GHOSH Soumyajit (IND),WALTHER Ricardo (GER),WALTHER Ricardo
World Tour India Open New Delhi 2017,2017-02-14,DESAI Harmeet,FLORE Tristan,4,3,"11,11,11,9,9,7,11|4,6,9,11,11,11,6",R32,GRAND_SLAM,MS,455,Main Draw,FLORE Tristan (FRA),DESAI Harmeet (IND),DESAI Harmeet
World Tour India Open New Delhi 2017,2017-02-14,NIWA Koki,ANTHONY Amalraj,4,0,"11,11,15,11|4,5,13,4",R32,GRAND_SLAM,MS,455,Main Draw,ANTHONY Amalraj (IND),NIWA Koki (JPN),NIWA Koki
World Tour India Open New Delhi 2017,2017-02-14,MURAMATSU Yuto,SALIFOU Abdel-Kader,4,0,"12,11,11,11|10,4,7,5",R32,GRAND_SLAM,MS,455,Main Draw,MURAMATSU Yuto (JPN),SALIFOU Abdel-Kader (BEN),MURAMATSU Yuto
World Tour India Open New Delhi 2017,2017-02-14,ACHANTA Sharath,AKKUZU Can,4,1,"11,11,11,8,11|5,8,4,11,8",R32,GRAND_SLAM,MS,455,Main Draw,AKKUZU Can (FRA),ACHANTA Sharath (IND),ACHANTA Sharath
World Tour India Open New Delhi 2017,2017-02-14,FILUS Ruwen,ROBINOT Quentin,4,0,"11,12,11,11|3,10,6,6",R32,GRAND_SLAM,MS,455,Main Draw,FILUS Ruwen (GER),ROBINOT Quentin (FRA),FILUS Ruwen
World Tour India Open New Delhi 2017,2017-02-14,DRINKHALL Paul,LAM Siu Hang,4,2,"0,11,14,11,7,11|11,7,12,9,11,9",R32,GRAND_SLAM,MS,455,Main Draw,LAM Siu Hang (HKG),DRINKHALL Paul (ENG),DRINKHALL Paul
World Tour India Open New Delhi 2017,2017-02-14,GARDOS Robert,WALKER Samuel,4,0,"11,11,11,11|5,7,6,6",R32,GRAND_SLAM,MS,455,Main Draw,GARDOS Robert (AUT),WALKER Samuel (ENG),GARDOS Robert
World Tour India Open New Delhi 2017,2017-02-14,SHETTY Sanil,BAUM Patrick,4,2,"11,11,7,11,7,11|7,4,11,8,11,8",R32,GRAND_SLAM,MS,455,Main Draw,SHETTY Sanil (IND),BAUM Patrick (GER),SHETTY Sanil
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,ROBLES Alvaro,4,1,"11,7,11,11,13|7,11,8,8,11",R32,GRAND_SLAM,MS,455,Main Draw,HARIMOTO Tomokazu (JPN),ROBLES Alvaro (ESP),HARIMOTO Tomokazu
World Tour India Open New Delhi 2017,2017-02-14,SAKAI Asuka,SAMSONOV Vladimir,4,0,"11,12,11,11|5,10,9,4",R32,GRAND_SLAM,MS,455,Main Draw,SAKAI Asuka (JPN),SAMSONOV Vladimir (BLR),SAKAI Asuka
World Tour India Open New Delhi 2017,2017-02-14,OVTCHAROV Dimitrij,GERALDO Joao,4,0,"11,11,11,11|3,3,5,4",R16,GRAND_SLAM,MS,455,Main Draw,OVTCHAROV Dimitrij (GER),GERALDO Joao (POR),OVTCHAROV Dimitrij
World Tour India Open New Delhi 2017,2017-02-14,OSHIMA Yuya,MORIZONO Masataka,4,2,"11,11,6,11,7,11|5,4,11,6,11,8",R16,GRAND_SLAM,MS,455,Main Draw,MORIZONO Masataka (JPN),OSHIMA Yuya (JPN),OSHIMA Yuya
World Tour India Open New Delhi 2017,2017-02-14,JIANG Tianyi,WALTHER Ricardo,4,3,"11,7,11,4,11,11,14|13,11,4,11,5,9,12",R16,GRAND_SLAM,MS,455,Main Draw,JIANG Tianyi (HKG),WALTHER Ricardo (GER),JIANG Tianyi
World Tour India Open New Delhi 2017,2017-02-14,NIWA Koki,DESAI Harmeet,4,1,"14,11,11,11,11|16,6,7,4,9",R16,GRAND_SLAM,MS,455,Main Draw,DESAI Harmeet (IND),NIWA Koki (JPN),NIWA Koki
World Tour India Open New Delhi 2017,2017-02-14,ACHANTA Sharath,MURAMATSU Yuto,4,1,"11,11,11,14,11|8,7,4,16,5",R16,GRAND_SLAM,MS,455,Main Draw,MURAMATSU Yuto (JPN),ACHANTA Sharath (IND),ACHANTA Sharath
World Tour India Open New Delhi 2017,2017-02-14,DRINKHALL Paul,FILUS Ruwen,4,1,"11,16,11,6,11|4,14,8,11,5",R16,GRAND_SLAM,MS,455,Main Draw,FILUS Ruwen (GER),DRINKHALL Paul (ENG),DRINKHALL Paul
World Tour India Open New Delhi 2017,2017-02-14,GARDOS Robert,SHETTY Sanil,4,2,"11,9,10,11,11,11|9,11,12,4,7,7",R16,GRAND_SLAM,MS,455,Main Draw,GARDOS Robert (AUT),SHETTY Sanil (IND),GARDOS Robert
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,SAKAI Asuka,4,2,"11,11,13,11,11,11|9,7,15,7,13,7",R16,GRAND_SLAM,MS,455,Main Draw,HARIMOTO Tomokazu (JPN),SAKAI Asuka (JPN),HARIMOTO Tomokazu
World Tour India Open New Delhi 2017,2017-02-14,OVTCHAROV Dimitrij,OSHIMA Yuya,4,3,"7,11,11,11,4,6,12|11,8,6,8,11,11,10",QF,GRAND_SLAM,MS,455,Main Draw,OVTCHAROV Dimitrij (GER),OSHIMA Yuya (JPN),OVTCHAROV Dimitrij
World Tour India Open New Delhi 2017,2017-02-14,NIWA Koki,JIANG Tianyi,4,1,"11,10,11,11,11|9,12,1,8,8",QF,GRAND_SLAM,MS,455,Main Draw,JIANG Tianyi (HKG),NIWA Koki (JPN),NIWA Koki
World Tour India Open New Delhi 2017,2017-02-14,ACHANTA Sharath,DRINKHALL Paul,4,3,"11,10,9,11,11,9,13|4,12,11,6,9,11,11",QF,GRAND_SLAM,MS,455,Main Draw,ACHANTA Sharath (IND),DRINKHALL Paul (ENG),ACHANTA Sharath
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,GARDOS Robert,4,2,"4,11,11,8,12,11|11,7,8,11,10,6",QF,GRAND_SLAM,MS,455,Main Draw,GARDOS Robert (AUT),HARIMOTO Tomokazu (JPN),HARIMOTO Tomokazu
World Tour India Open New Delhi 2017,2017-02-14,OVTCHAROV Dimitrij,NIWA Koki,4,3,"8,11,9,12,14,11,11|11,2,11,10,16,2,8",SF,GRAND_SLAM,MS,455,Main Draw,OVTCHAROV Dimitrij (GER),NIWA Koki (JPN),OVTCHAROV Dimitrij
World Tour India Open New Delhi 2017,2017-02-14,HARIMOTO Tomokazu,ACHANTA Sharath,4,2,"11,5,11,11,11,11|7,11,7,13,9,9",SF,GRAND_SLAM,MS,455,Main Draw,ACHANTA Sharath (IND),HARIMOTO Tomokazu (JPN),HARIMOTO Tomokazu
World Tour India Open New Delhi 2017,2017-02-14,OVTCHAROV Dimitrij,HARIMOTO Tomokazu,4,0,"11,11,11,14|6,8,4,12",F,GRAND_SLAM,MS,455,Main Draw,OVTCHAROV Dimitrij (GER),HARIMOTO Tomokazu (JPN),OVTCHAROV Dimitrij
