tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAKA Suraju,BEN YAHIA Kerem,4,1,"11,9,11,11,11|6,11,6,8,7",QF,OLYMPICS,MS,158,Main Draw,BEN YAHIA Kerem (TUN),SAKA Suraju (CGO),SAKA Suraju
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,TORIOLA Segun,AGBETOGLO Mawussi,4,0,"11,12,11,11|7,10,9,6",SF,OLYMPICS,MS,158,Main Draw,TORIOLA Segun (NGR),AGBETOGLO Mawussi (TOG),TORIOLA Segun
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAKA Suraju,HMAM Adam,4,3,"10,11,1,11,7,11,11|12,7,11,9,11,8,6",SF,OLYMPICS,MS,158,Main Draw,HMAM Adam (TUN),SAKA Suraju (CGO),SAKA Suraju
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,TORIOLA Segun,SAKA Suraju,4,1,"11,9,11,11,11|6,11,1,1,9",F,OLYMPICS,MS,158,Main Draw,TORIOLA Segun (NGR),SAKA Suraju (CGO),TORIOLA Segun
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,EDEM Offiong,LAID Islem,4,2,"10,11,4,11,11,11|12,5,11,5,9,7",QF,OLYMPICS,WS,158,Main Draw,EDEM Offiong (NGR),LAID Islem (ALG),EDEM Offiong
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LOGHRAIBI Lynda,THAKKAR Sejal,4,0,"11,11,11,11|6,9,6,3",QF,OLYMPICS,WS,158,Main Draw,THAKKAR Sejal (KEN),LOGHRAIBI Lynda (ALG),LOGHRAIBI Lynda
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAIDANI Safa,FARAH Safa,4,0,"11,11,11,11|3,5,1,6",QF,OLYMPICS,WS,158,Main Draw,SAIDANI Safa (TUN),FARAH Safa (DJI),SAIDANI Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HANFFOU Sarah,GUKHOOL Widaad,4,0,"11,11,11,11|8,5,9,8",QF,OLYMPICS,WS,158,Main Draw,GUKHOOL Widaad (MRI),HANFFOU Sarah (CMR),HANFFOU Sarah
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,EDEM Offiong,LOGHRAIBI Lynda,4,0,"11,11,12,11|6,7,10,3",SF,OLYMPICS,WS,158,Main Draw,EDEM Offiong (NGR),LOGHRAIBI Lynda (ALG),EDEM Offiong
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,SAIDANI Safa,HANFFOU Sarah,4,3,"11,1,11,5,11,9,11|8,11,8,11,9,11,5",SF,OLYMPICS,WS,158,Main Draw,SAIDANI Safa (TUN),HANFFOU Sarah (CMR),SAIDANI Safa
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,EDEM Offiong,SAIDANI Safa,4,0,"11,11,11,13|6,4,4,11",F,OLYMPICS,WS,158,Main Draw,EDEM Offiong (NGR),SAIDANI Safa (TUN),EDEM Offiong
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LAID Islem,THAKKAR Sejal,3,0,"11,11,11|6,6,4",GROUP,OLYMPICS,WS,158,Main Draw,LAID Islem (ALG),THAKKAR Sejal (KEN),LAID Islem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,LAID Islem,GUKHOOL Widaad,3,1,"11,12,11,11|8,14,8,7",GROUP,OLYMPICS,WS,158,Main Draw,LAID Islem (ALG),GUKHOOL Widaad (MRI),LAID Islem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BEN YAHIA Kerem,TIRSELT Mounaim,3,1,"10,11,11,11|12,9,7,7",GROUP,OLYMPICS,MS,158,Main Draw,TIRSELT Mounaim (MAR),BEN YAHIA Kerem (TUN),BEN YAHIA Kerem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,BEN YAHIA Kerem,BELKADI Aissa,3,0,"11,11,11|7,7,4",GROUP,OLYMPICS,MS,158,Main Draw,BELKADI Aissa (ALG),BEN YAHIA Kerem (TUN),BEN YAHIA Kerem
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,HANFFOU Sarah,LOGHRAIBI Lynda,3,0,"11,11,11|4,9,1",3RD,OLYMPICS,WS,158,Main Draw,HANFFOU Sarah (CMR),LOGHRAIBI Lynda (ALG),HANFFOU Sarah
ITTF Africa Olympic Qualification Tournament Khartum 2016,2016-02-16,AGBETOGLO Mawussi,HMAM Adam,3,1,"11,11,7,11|8,6,11,7",2,OLYMPICS,MS,158,Consolation,AGBETOGLO Mawussi (TOG),HMAM Adam (TUN),AGBETOGLO Mawussi
