tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
WTT Star Contender São José dos Campos 2026,2026-07-22,PICARD Vincent,TOMA Danilo,3,0,"11,11,11|9,9,9",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,PICARD Vincent (FRA),TOMA Danilo (BRA),PICARD Vincent
WTT Star Contender São José dos Campos 2026,2026-07-22,FUENTES Alvaro,MADRID Marcos,3,2,"7,11,11,9,11|11,7,4,11,5",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,FUENTES Alvaro (CHI),MADRID Marcos (MEX),FUENTES Alvaro
WTT Star Contender São José dos Campos 2026,2026-07-22,OLIVARES Felipe,DE SOUSA Flavio,3,0,"11,11,11|5,7,6",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,OLIVARES Felipe (CHI),DE SOUSA Flavio (BRA),OLIVARES Felipe
WTT Star Contender São José dos Campos 2026,2026-07-22,YIU Kwan To,SANTOS Felipe,3,0,"11,11,11|5,6,9",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,YIU Kwan To (HKG),SANTOS Felipe (BRA),YIU Kwan To
WTT Star Contender São José dos Campos 2026,2026-07-22,KOURAICHI Alexis,SILVA Caio,3,0,"11,11,11|7,4,4",QR2,WTT_STAR_CONTENDER,MS,3244,Qualification,KOURAICHI Alexis (FRA),SILVA Caio (BRA),KOURAICHI Alexis
WTT Star Contender São José dos Campos 2026,2026-07-23,PISTEJ Lubomir,YIU Kwan To,3,0,"11,11,11|8,9,7",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,PISTEJ Lubomir (SVK),YIU Kwan To (HKG),PISTEJ Lubomir
WTT Star Contender São José dos Campos 2026,2026-07-23,STRASSBURGER Victoria,KANO Sofia,3,0,"11,11,11|7,5,7",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,STRASSBURGER Victoria (BRA),KANO Sofia (BRA),STRASSBURGER Victoria
WTT Star Contender São José dos Campos 2026,2026-07-23,ORTEGA Daniela,PRATES Jessica,3,0,"11,11,11|4,5,3",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,ORTEGA Daniela (CHI),PRATES Jessica (BRA),ORTEGA Daniela
WTT Star Contender São José dos Campos 2026,2026-07-23,DIAW Ibrahima,BURGOS Nicolas,3,1,"11,11,6,11|9,9,11,1",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,DIAW Ibrahima (DEN),BURGOS Nicolas (CHI),DIAW Ibrahima
WTT Star Contender São José dos Campos 2026,2026-07-23,YOO Yerin,VEGA Paulina,3,0,"11,11,11|8,5,9",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,YOO Yerin (KOR),VEGA Paulina (CHI),YOO Yerin
WTT Star Contender São José dos Campos 2026,2026-07-23,FUJII Davi,SARMENTO Allan,3,0,"11,11,11|9,4,9",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,FUJII Davi (BRA),SARMENTO Allan (BRA),FUJII Davi
WTT Star Contender São José dos Campos 2026,2026-07-23,SCHREINER Franziska,ZAGO Gabriella,3,0,"11,11,11|2,4,3",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,SCHREINER Franziska (GER),ZAGO Gabriella (BRA),SCHREINER Franziska
WTT Star Contender São José dos Campos 2026,2026-07-23,VIVARELLI Debora,AGNONE MAIARA,3,0,"11,11,11|8,7,6",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,VIVARELLI Debora (ITA),AGNONE MAIARA (BRA),VIVARELLI Debora
WTT Star Contender São José dos Campos 2026,2026-07-23,ARADO Felipe,KWAN Man Ho,3,0,"11,12,11|9,10,9",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,ARADO Felipe (BRA),KWAN Man Ho (HKG),ARADO Felipe
WTT Star Contender São José dos Campos 2026,2026-07-23,DE NODREST Leo,OLIVARES Felipe,3,0,"11,11,11|5,9,9",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,DE NODREST Leo (FRA),OLIVARES Felipe (CHI),DE NODREST Leo
WTT Star Contender São José dos Campos 2026,2026-07-23,RIOS Valentina,LAM Yee Lok,3,2,"11,11,13,10,12|9,9,15,12,10",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,RIOS Valentina (CHI),LAM Yee Lok (HKG),RIOS Valentina
WTT Star Contender São José dos Campos 2026,2026-07-23,TANAKA Yuta,GOMEZ Gustavo,3,0,"11,12,11|6,10,5",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,TANAKA Yuta (JPN),GOMEZ Gustavo (CHI),TANAKA Yuta
WTT Star Contender São José dos Campos 2026,2026-07-23,NG Wing Lam,BERGAND Filippa,3,0,"11,11,11|8,4,4",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,NG Wing Lam (HKG),BERGAND Filippa (SWE),NG Wing Lam
WTT Star Contender São José dos Campos 2026,2026-07-23,WATANABE Laura,VEGA Sofia,3,0,"11,11,11|8,8,5",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,WATANABE Laura (BRA),VEGA Sofia (CHI),WATANABE Laura
WTT Star Contender São José dos Campos 2026,2026-07-23,LAM Siu Hang,IIZUKA Leonardo,3,0,"11,11,11|8,9,7",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,LAM Siu Hang (HKG),IIZUKA Leonardo (BRA),LAM Siu Hang
WTT Star Contender São José dos Campos 2026,2026-07-23,YOSHIYAMA Ryoichi,ZELINKA Jakub,3,0,"11,11,11|4,4,8",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,YOSHIYAMA Ryoichi (JPN),ZELINKA Jakub (SVK),YOSHIYAMA Ryoichi
WTT Star Contender São José dos Campos 2026,2026-07-23,KOZUL Deni,NARESH Nandan,3,0,"11,11,11|5,3,4",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,KOZUL Deni (SLO),NARESH Nandan (USA),KOZUL Deni
WTT Star Contender São José dos Campos 2026,2026-07-23,SU Tsz Tung,AMORIM Isabel,3,0,"11,11,11|8,7,5",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,SU Tsz Tung (HKG),AMORIM Isabel (BRA),SU Tsz Tung
WTT Star Contender São José dos Campos 2026,2026-07-23,LEE Hoi Man,COSSIO Arantxa,3,0,"11,11,11|5,6,3",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,LEE Hoi Man (HKG),COSSIO Arantxa (MEX),LEE Hoi Man
WTT Star Contender São José dos Campos 2026,2026-07-23,STUMPER Kay,YAMANE Hamilton,3,2,"5,7,11,11,11|11,11,5,6,3",R64,WTT_STAR_CONTENDER,MS,3244,Main Draw,STUMPER Kay (GER),YAMANE Hamilton (BRA),STUMPER Kay
WTT Star Contender São José dos Campos 2026,2026-07-23,STRASSBURGER Victoria/KANASHIRO Beatriz,BORGES Bianca/FONTANIVE Luiza,3,1,"11,10,11,11|7,12,8,9",R16,WTT_STAR_CONTENDER,WD,3244,Main Draw,STRASSBURGER Victoria/KANASHIRO Beatriz (BRA),BORGES Bianca/FONTANIVE Luiza (BRA),STRASSBURGER Victoria/KANASHIRO Beatriz
WTT Star Contender São José dos Campos 2026,2026-07-23,BERTELSMEIER Andre/VERDONSCHOT Wim,MADRID Marcos/CASTRO Rogelio,3,1,"12,11,10,11|10,8,12,9",R16,WTT_STAR_CONTENDER,MD,3244,Main Draw,BERTELSMEIER Andre/VERDONSCHOT Wim (GER),MADRID Marcos/CASTRO Rogelio (MEX),BERTELSMEIER Andre/VERDONSCHOT Wim
WTT Star Contender São José dos Campos 2026,2026-07-23,SATO Hitomi/SHIBATA Saki,SHIRAY Karina/FIORE Beatriz,3,0,"11,11,11|6,7,2",R16,WTT_STAR_CONTENDER,WD,3244,Main Draw,SATO Hitomi/SHIBATA Saki (JPN),SHIRAY Karina/FIORE Beatriz (BRA),SATO Hitomi/SHIBATA Saki
WTT Star Contender São José dos Campos 2026,2026-07-23,PICARD Claire,KUKULKOVA Tatiana,3,1,"11,10,11,11|8,12,7,7",R64,WTT_STAR_CONTENDER,WS,3244,Main Draw,PICARD Claire (FRA),KUKULKOVA Tatiana (SVK),PICARD Claire
WTT Star Contender São José dos Campos 2026,2026-07-23,PICARD Vincent/ABRAAMIAN Elizabet,LY Edward/ZHANG Mo,3,2,"10,8,13,11,11|12,11,11,9,7",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,PICARD Vincent/ABRAAMIAN Elizabet (FRA/AIN),LY Edward/ZHANG Mo (CAN),PICARD Vincent/ABRAAMIAN Elizabet
WTT Star Contender São José dos Campos 2026,2026-07-23,TEODORO Guilherme/TAKAHASHI Giulia,DUDA Benedikt/MITTELHAM Nina,3,2,"4,8,12,11,11|11,11,10,4,5",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,TEODORO Guilherme/TAKAHASHI Giulia (BRA),DUDA Benedikt/MITTELHAM Nina (GER),TEODORO Guilherme/TAKAHASHI Giulia
WTT Star Contender São José dos Campos 2026,2026-07-23,OH Junsung/YOO Yerin,ARADO Felipe/WATANABE Laura,3,1,"11,6,11,13|9,11,9,11",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,OH Junsung/YOO Yerin (KOR),ARADO Felipe/WATANABE Laura (BRA),OH Junsung/YOO Yerin
WTT Star Contender São José dos Campos 2026,2026-07-23,CALDERANO Hugo/TAKAHASHI Bruna,VOS Eusebio/RIOS Valentina,3,0,"11,12,11|0,10,6",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,CALDERANO Hugo/TAKAHASHI Bruna (BRA),VOS Eusebio/RIOS Valentina (CHI),CALDERANO Hugo/TAKAHASHI Bruna
WTT Star Contender São José dos Campos 2026,2026-07-23,GOMEZ Gustavo/ORTEGA Daniela,PISTEJ Lubomir/KUKULKOVA Tatiana,3,2,"10,11,8,11,11|12,8,11,5,8",R16,WTT_STAR_CONTENDER,XD,3244,Main Draw,GOMEZ Gustavo/ORTEGA Daniela (CHI),PISTEJ Lubomir/KUKULKOVA Tatiana (SVK),GOMEZ Gustavo/ORTEGA Daniela
