tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,YU Mengyu,MANTZ Chantal,4,2,"8,11,12,11,8,11|11,7,10,7,11,9",R64,GRAND_SLAM,WS,22,Main Draw,MANTZ Chantal (GER),YU Mengyu (SGP),YU Mengyu
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,NOSKOVA Yana,CHEN Szu-Yu,4,3,"11,6,7,11,5,11,11|7,11,11,5,11,6,8",R64,GRAND_SLAM,WS,22,Main Draw,CHEN Szu-Yu (TPE),NOSKOVA Yana (RUS),NOSKOVA Yana
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HAN Ying,MENGE Merve,4,0,"11,12,11,11|8,10,5,6",R64,GRAND_SLAM,WS,22,Main Draw,MENGE Merve (TUR),HAN Ying (GER),HAN Ying
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,CHENG I-Ching,MAEDA Miyu,4,2,"5,11,9,11,11,11|11,9,11,6,8,9",R64,GRAND_SLAM,WS,22,Main Draw,CHENG I-Ching (TPE),MAEDA Miyu (JPN),CHENG I-Ching
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LEE Ho Ching,MORI Sakura,4,2,"3,11,11,5,13,11|11,3,7,11,11,7",R64,GRAND_SLAM,WS,22,Main Draw,MORI Sakura (JPN),LEE Ho Ching (HKG),LEE Ho Ching
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIU Jia,HUANG Yi-Hua,4,1,"9,11,12,11,12|11,4,10,9,10",R64,GRAND_SLAM,WS,22,Main Draw,LIU Jia (AUT),HUANG Yi-Hua (TPE),LIU Jia
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,LIU Shiwen,MIKHAILOVA Polina,4,0,"11,11,11,11|6,9,7,8",R64,GRAND_SLAM,WS,22,Main Draw,MIKHAILOVA Polina (RUS),LIU Shiwen (CHN),LIU Shiwen
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,DING Ning,HU Melek,4,0,"11,11,11,11|3,2,4,3",R32,GRAND_SLAM,WS,22,Main Draw,DING Ning (CHN),HU Melek (TUR),DING Ning
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,MU Zi,DOO Hoi Kem,4,1,"11,11,11,10,11|4,8,9,12,2",R32,GRAND_SLAM,WS,22,Main Draw,MU Zi (CHN),DOO Hoi Kem (HKG),MU Zi
GAC Group World Tour Swedish Open Stockholm 2015,2015-11-11,HIRANO Miu,POTA Georgina,4,0,"11,11,11,11|5,4,7,6",R32,GRAND_SLAM,WS,22,Main Draw,HIRANO Miu (JPN),POTA Georgina (HUN),HIRANO Miu
