tournament,date,player_a,player_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,winner_raw
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PROKOPCOV Dmitrij,PETO Zsolt,3,1,"11,11,10,11|9,4,12,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PROKOPCOV Dmitrij (CZE),PETO Zsolt (SRB),PROKOPCOV Dmitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARAKASEVIC Aleksandar,KORBEL Petr,3,1,"5,11,11,11|11,7,7,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARAKASEVIC Aleksandar (SRB),KORBEL Petr (CZE),KARAKASEVIC Aleksandar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,GAO Ning,3,1,"11,8,11,11|5,11,7,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),GAO Ning (SGP),OVTCHAROV Dimitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BOLL Timo,YANG Zi,3,0,"11,11,11|9,7,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BOLL Timo (GER),YANG Zi (SGP),BOLL Timo
World Team Table Tennis Championships Dortmund 2012,2012-03-25,BAUM Patrick,PANG Xue Jie,3,1,"9,11,11,11|11,3,8,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,BAUM Patrick (GER),PANG Xue Jie (SGP),BAUM Patrick
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KORBEL Petr,MONTEIRO Joao,3,1,"10,12,11,11|12,10,8,6",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KORBEL Petr (CZE),MONTEIRO Joao (POR),KORBEL Petr
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PROKOPCOV Dmitrij,FREITAS Marcos,3,2,"11,9,6,11,11|8,11,11,9,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PROKOPCOV Dmitrij (CZE),FREITAS Marcos (POR),PROKOPCOV Dmitrij
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OBESLO Michal,SILVA Andre,3,0,"11,11,11|2,2,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OBESLO Michal (CZE),SILVA Andre (POR),OBESLO Michal
World Team Table Tennis Championships Dortmund 2012,2012-03-25,KARAKASEVIC Aleksandar,HE Zhiwen,3,2,"2,8,13,12,11|11,11,11,10,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,KARAKASEVIC Aleksandar (SRB),HE Zhiwen (ESP),KARAKASEVIC Aleksandar
World Team Table Tennis Championships Dortmund 2012,2012-03-25,PETO Zsolt,MACHADO Carlos,3,1,"3,11,11,11|11,5,6,8",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,PETO Zsolt (SRB),MACHADO Carlos (ESP),PETO Zsolt
World Team Table Tennis Championships Dortmund 2012,2012-03-25,JEVTOVIC Marko,CANTERO Jesus,3,2,"5,8,11,11,11|11,11,7,4,9",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,JEVTOVIC Marko (SRB),CANTERO Jesus (ESP),JEVTOVIC Marko
World Team Table Tennis Championships Dortmund 2012,2012-03-25,OVTCHAROV Dimitrij,FREITAS Marcos,3,1,"6,11,11,11|11,5,9,3",GROUP,WORLD_CHAMPIONSHIPS,MT,923,Main Draw,OVTCHAROV Dimitrij (GER),FREITAS Marcos (POR),OVTCHAROV Dimitrij
