tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
YOG North America Continental Qualification Las Vegas 2017,2017-12-17,JHA Kanak,XIE Tianming,USA,USA,4,0,"11,11,11,11|5,2,6,4",R16,OTHER,JBS,510,Main Draw,JHA Kanak (USA),XIE Tianming (USA),,,4 - 0,11:5 11:2 11:6 11:4,JHA Kanak,2017
Caribbean Championships Havana 2017,2017-07-18,MURRAY Brittany,AVRILA Mevene,JAM,FRA,3,0,"11,11,11|8,3,7",,OTHER,U21WS,854,Qualification,AVRILA Mevene (FRA),MURRAY Brittany (JAM),,,0 - 3,8:11 3:11 7:11,MURRAY Brittany,2017
Caribbean Championships Havana 2017,2017-07-18,MACHADO FERNANDEZ Shelly,FRANCIS Onika Yanika,CUB,JAM,3,0,"11,11,11|3,8,2",,OTHER,U21WS,854,Qualification,MACHADO FERNANDEZ Shelly (CUB),FRANCIS Onika Yanika (JAM),,,3 - 0,11:3 11:8 11:2,MACHADO FERNANDEZ Shelly,2017
Caribbean Championships Havana 2017,2017-07-18,RIVERA Ana Paola,GREAVES Priscilla,PUR,GUY,3,1,"5,11,11,11|11,8,6,1",,OTHER,U21WS,854,Qualification,GREAVES Priscilla (GUY),RIVERA Ana Paola (PUR),,,1 - 3,11:5 8:11 6:11 1:11,RIVERA Ana Paola,2017
Caribbean Championships Havana 2017,2017-07-18,MACHADO FERNANDEZ Shelly,GREAVES Priscilla,CUB,GUY,3,0,"11,11,11|4,9,5",,OTHER,U21WS,854,Qualification,MACHADO FERNANDEZ Shelly (CUB),GREAVES Priscilla (GUY),,,3 - 0,11:4 11:9 11:5,MACHADO FERNANDEZ Shelly,2017
Caribbean Championships Havana 2017,2017-07-18,RIVERA Ana Paola,FRANCIS Onika Yanika,PUR,JAM,3,0,"11,11,11|6,3,9",,OTHER,U21WS,854,Qualification,FRANCIS Onika Yanika (JAM),RIVERA Ana Paola (PUR),,,0 - 3,6:11 3:11 9:11,RIVERA Ana Paola,2017
Caribbean Championships Havana 2017,2017-07-18,MACHADO FERNANDEZ Shelly,RIVERA Ana Paola,CUB,PUR,3,0,"11,11,11|2,6,9",,OTHER,U21WS,854,Qualification,MACHADO FERNANDEZ Shelly (CUB),RIVERA Ana Paola (PUR),,,3 - 0,11:2 11:6 11:9,MACHADO FERNANDEZ Shelly,2017
Caribbean Championships Havana 2017,2017-07-18,FRANCIS Onika Yanika,GREAVES Priscilla,JAM,GUY,3,2,"11,7,11,9|7,11,8,11",,OTHER,U21WS,854,Qualification,GREAVES Priscilla (GUY),FRANCIS Onika Yanika (JAM),,,2 - 3,7:11 11:7 8:11 11:9,FRANCIS Onika Yanika,2017
Caribbean Championships Havana 2017,2017-07-18,EDGHILL Chelsea,MIREDIN Oceane,GUY,FRA,3,0,"11,11,11|1,3,1",,OTHER,U21WS,854,Qualification,EDGHILL Chelsea (GUY),MIREDIN Oceane (FRA),,,3 - 0,11:1 11:3 11:1,EDGHILL Chelsea,2017
Caribbean Championships Havana 2017,2017-07-18,SANCHEZ Cinthya,DARCHEVILLE Cherese,DOM,LCA,3,0,"11,11,11|6,7,1",,OTHER,U21WS,854,Qualification,SANCHEZ Cinthya (DOM),DARCHEVILLE Cherese (LCA),,,3 - 0,11:6 11:7 11:1,SANCHEZ Cinthya,2017
Caribbean Championships Havana 2017,2017-07-18,EDGHILL Chelsea,SANCHEZ Cinthya,GUY,DOM,3,2,"11,5,8,14|7,11,11,12",,OTHER,U21WS,854,Qualification,EDGHILL Chelsea (GUY),SANCHEZ Cinthya (DOM),,,3 - 2,11:7 5:11 8:11 14:12,EDGHILL Chelsea,2017
Caribbean Championships Havana 2017,2017-07-18,DARCHEVILLE Cherese,MIREDIN Oceane,LCA,FRA,3,0,"11,11,11|6,3,4",,OTHER,U21WS,854,Qualification,MIREDIN Oceane (FRA),DARCHEVILLE Cherese (LCA),,,0 - 3,6:11 3:11 4:11,DARCHEVILLE Cherese,2017
Caribbean Championships Havana 2017,2017-07-18,EDGHILL Chelsea,DARCHEVILLE Cherese,GUY,LCA,3,0,"11,11,11|4,6,5",,OTHER,U21WS,854,Qualification,EDGHILL Chelsea (GUY),DARCHEVILLE Cherese (LCA),,,3 - 0,11:4 11:6 11:5,EDGHILL Chelsea,2017
Caribbean Championships Havana 2017,2017-07-18,SANCHEZ Cinthya,MIREDIN Oceane,DOM,FRA,3,0,"11,11,11|2,3,6",,OTHER,U21WS,854,Qualification,SANCHEZ Cinthya (DOM),MIREDIN Oceane (FRA),,,3 - 0,11:2 11:3 11:6,SANCHEZ Cinthya,2017
Caribbean Championships Havana 2017,2017-07-18,EDGHILL Chelsea,RIVERA Ana Paola,GUY,PUR,3,1,"11,6,11,11|9,11,9,9",QuarterFinal,OTHER,U21WS,854,Main Draw,RIVERA Ana Paola (PUR),EDGHILL Chelsea (GUY),,,1 - 3,9:11 11:6 9:11 9:11,EDGHILL Chelsea,2017
Caribbean Championships Havana 2017,2017-07-18,MACHADO FERNANDEZ Shelly,SANCHEZ Cinthya,CUB,DOM,3,1,"6,11,11,13|11,2,7,11",QuarterFinal,OTHER,U21WS,854,Main Draw,MACHADO FERNANDEZ Shelly (CUB),SANCHEZ Cinthya (DOM),,,3 - 1,6:11 11:2 11:7 13:11,MACHADO FERNANDEZ Shelly,2017
Caribbean Championships Havana 2017,2017-07-18,CASTRO Esmerlyn,CHAVARRIA Amanda,DOM,PUR,3,1,"11,8,11,11|7,11,6,5",QuarterFinal,OTHER,U21WS,854,Main Draw,CHAVARRIA Amanda (PUR),CASTRO Esmerlyn (DOM),,,1 - 3,7:11 11:8 6:11 5:11,CASTRO Esmerlyn,2017
Caribbean Championships Havana 2017,2017-07-18,LOVET Idalys,EDGHILL Chelsea,CUB,GUY,3,1,"11,11,8,11|6,7,11,8",SemiFinal,OTHER,U21WS,854,Main Draw,LOVET Idalys (CUB),EDGHILL Chelsea (GUY),,,3 - 1,11:6 11:7 8:11 11:8,LOVET Idalys,2017
Caribbean Championships Havana 2017,2017-07-18,CASTRO Esmerlyn,MACHADO FERNANDEZ Shelly,DOM,CUB,3,0,"12,11,11|10,7,8",SemiFinal,OTHER,U21WS,854,Main Draw,MACHADO FERNANDEZ Shelly (CUB),CASTRO Esmerlyn (DOM),,,0 - 3,10:12 7:11 8:11,CASTRO Esmerlyn,2017
Caribbean Championships Havana 2017,2017-07-18,CASTRO Esmerlyn,LOVET Idalys,DOM,CUB,4,2,"11,8,8,11|6,11,11,8",Final,OTHER,U21WS,854,Main Draw,LOVET Idalys (CUB),CASTRO Esmerlyn (DOM),,,2 - 4,6:11 11:8 11:8 8:11,CASTRO Esmerlyn,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,HOEK Jean Claude,CUB,ARU,3,0,"11,11,11|3,2,4",,OTHER,U21MS,854,Qualification,MARTINEZ Livan (CUB),HOEK Jean Claude (ARU),,,3 - 0,11:3 11:2 11:4,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,HOEK Jean Claude,LAKE Trehdel,ARU,SKN,3,0,"11,11,11|5,2,7",,OTHER,U21MS,854,Qualification,HOEK Jean Claude (ARU),LAKE Trehdel (SKN),,,3 - 0,11:5 11:2 11:7,HOEK Jean Claude,2017
Caribbean Championships Havana 2017,2017-07-18,LOCKWARD Mariano,DAVIDSON Kyle,DOM,JAM,3,0,"11,11,11|4,3,7",,OTHER,U21MS,854,Qualification,LOCKWARD Mariano (DOM),DAVIDSON Kyle (JAM),,,3 - 0,11:4 11:3 11:7,LOCKWARD Mariano,2017
Caribbean Championships Havana 2017,2017-07-18,LOCKWARD Mariano,SEAMAN Chea,DOM,DMA,3,0,"11,11,11|1,7,3",,OTHER,U21MS,854,Qualification,LOCKWARD Mariano (DOM),SEAMAN Chea (DMA),,,3 - 0,11:1 11:7 11:3,LOCKWARD Mariano,2017
Caribbean Championships Havana 2017,2017-07-18,DAVIDSON Kyle,SEAMAN Chea,JAM,DMA,3,0,"11,11,11|4,7,8",,OTHER,U21MS,854,Qualification,SEAMAN Chea (DMA),DAVIDSON Kyle (JAM),,,0 - 3,4:11 7:11 8:11,DAVIDSON Kyle,2017
Caribbean Championships Havana 2017,2017-07-18,ECHEVARRIA Sebastian,HELMEYER Jean Pierre,PUR,ARU,3,0,"11,11,12|3,6,10",,OTHER,U21MS,854,Qualification,ECHEVARRIA Sebastian (PUR),HELMEYER Jean Pierre (ARU),,,3 - 0,11:3 11:6 12:10,ECHEVARRIA Sebastian,2017
Caribbean Championships Havana 2017,2017-07-18,VILA Isaac,ECHEVARRIA Sebastian,DOM,PUR,3,2,"3,11,11,6|11,5,9,11",,OTHER,U21MS,854,Qualification,ECHEVARRIA Sebastian (PUR),VILA Isaac (DOM),,,2 - 3,11:3 5:11 9:11 11:6,VILA Isaac,2017
Caribbean Championships Havana 2017,2017-07-18,VILA Isaac,HELMEYER Jean Pierre,DOM,ARU,3,0,"11,11,11|1,4,4",,OTHER,U21MS,854,Qualification,VILA Isaac (DOM),HELMEYER Jean Pierre (ARU),,,3 - 0,11:1 11:4 11:4,VILA Isaac,2017
Caribbean Championships Havana 2017,2017-07-18,ROOPNARINE Arun,KNIGHT Tyrese,TTO,BAR,3,2,"11,7,6,11|9,11,11,7",,OTHER,U21MS,854,Qualification,KNIGHT Tyrese (BAR),ROOPNARINE Arun (TTO),,,2 - 3,9:11 11:7 11:6 7:11,ROOPNARINE Arun,2017
Caribbean Championships Havana 2017,2017-07-18,PEREZ Gabriel,KNIGHT Tyrese,PUR,BAR,3,2,"7,12,15,11|11,14,13,7",,OTHER,U21MS,854,Qualification,KNIGHT Tyrese (BAR),PEREZ Gabriel (PUR),,,2 - 3,11:7 14:12 13:15 7:11,PEREZ Gabriel,2017
Caribbean Championships Havana 2017,2017-07-18,PEREZ Gabriel,ROOPNARINE Arun,PUR,TTO,3,0,"11,11,12|7,9,10",,OTHER,U21MS,854,Qualification,PEREZ Gabriel (PUR),ROOPNARINE Arun (TTO),,,3 - 0,11:7 11:9 12:10,PEREZ Gabriel,2017
Caribbean Championships Havana 2017,2017-07-18,DE LEPINE Samuel,LEWIS Jaleel,FRA,DMA,3,0,"11,11,11|4,4,3",,OTHER,U21MS,854,Qualification,LEWIS Jaleel (DMA),DE LEPINE Samuel (FRA),,,0 - 3,4:11 4:11 3:11,DE LEPINE Samuel,2017
Caribbean Championships Havana 2017,2017-07-18,BRITTON Shemar,LEWIS Jaleel,GUY,DMA,3,0,"11,11,11|1,4,2",,OTHER,U21MS,854,Qualification,LEWIS Jaleel (DMA),BRITTON Shemar (GUY),,,0 - 3,1:11 4:11 2:11,BRITTON Shemar,2017
Caribbean Championships Havana 2017,2017-07-18,BRITTON Shemar,DE LEPINE Samuel,GUY,FRA,3,0,"11,12,11|9,10,8",,OTHER,U21MS,854,Qualification,BRITTON Shemar (GUY),DE LEPINE Samuel (FRA),,,3 - 0,11:9 12:10 11:8,BRITTON Shemar,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,DANIELS Andrew,CUB,LCA,3,0,"11,11,11|5,6,9",,OTHER,U21MS,854,Qualification,HERNANDEZ Carlos (CUB),DANIELS Andrew (LCA),,,3 - 0,11:5 11:6 11:9,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,BROWN Rajni Gavin,CUB,JAM,3,0,"11,11,11|7,3,9",,OTHER,U21MS,854,Qualification,HERNANDEZ Carlos (CUB),BROWN Rajni Gavin (JAM),,,3 - 0,11:7 11:3 11:9,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,DANIELS Andrew,BROWN Rajni Gavin,LCA,JAM,3,2,"6,8,11,11|11,11,9,7",,OTHER,U21MS,854,Qualification,BROWN Rajni Gavin (JAM),DANIELS Andrew (LCA),,,2 - 3,11:6 11:8 9:11 7:11,DANIELS Andrew,2017
Caribbean Championships Havana 2017,2017-07-18,DANIELS Andrew,DAVIDSON Kyle,LCA,JAM,3,0,"11,11,11|4,5,9",R16,OTHER,U21MS,854,Main Draw,DAVIDSON Kyle (JAM),DANIELS Andrew (LCA),,,0 - 3,4:11 5:11 9:11,DANIELS Andrew,2017
Caribbean Championships Havana 2017,2017-07-18,BRITTON Shemar,ROOPNARINE Arun,GUY,TTO,3,0,"11,11,11|6,5,6",R16,OTHER,U21MS,854,Main Draw,BRITTON Shemar (GUY),ROOPNARINE Arun (TTO),,,3 - 0,11:6 11:5 11:6,BRITTON Shemar,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,HOEK Jean Claude,CUB,ARU,3,0,"11,11,11|7,7,5",R16,OTHER,U21MS,854,Main Draw,HOEK Jean Claude (ARU),HERNANDEZ Carlos (CUB),,,0 - 3,7:11 7:11 5:11,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,ECHEVARRIA Sebastian,DE LEPINE Samuel,PUR,FRA,3,0,"11,11,11|5,4,3",R16,OTHER,U21MS,854,Main Draw,ECHEVARRIA Sebastian (PUR),DE LEPINE Samuel (FRA),,,3 - 0,11:5 11:4 11:3,ECHEVARRIA Sebastian,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,DANIELS Andrew,CUB,LCA,3,0,"11,11,11|5,1,2",QuarterFinal,OTHER,U21MS,854,Main Draw,MARTINEZ Livan (CUB),DANIELS Andrew (LCA),,,3 - 0,11:5 11:1 11:2,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,VILA Isaac,BRITTON Shemar,DOM,GUY,3,2,"8,16,4,11|11,14,11,8",QuarterFinal,OTHER,U21MS,854,Main Draw,BRITTON Shemar (GUY),VILA Isaac (DOM),,,2 - 3,11:8 14:16 11:4 8:11,VILA Isaac,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,PEREZ Gabriel,CUB,PUR,3,0,"11,11,11|4,6,7",QuarterFinal,OTHER,U21MS,854,Main Draw,PEREZ Gabriel (PUR),HERNANDEZ Carlos (CUB),,,0 - 3,4:11 6:11 7:11,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,ECHEVARRIA Sebastian,LOCKWARD Mariano,PUR,DOM,3,2,"11,11,9,10|4,5,11,12",QuarterFinal,OTHER,U21MS,854,Main Draw,ECHEVARRIA Sebastian (PUR),LOCKWARD Mariano (DOM),,,3 - 2,11:4 11:5 9:11 10:12,ECHEVARRIA Sebastian,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,VILA Isaac,CUB,DOM,3,1,"13,11,10,11|11,7,12,7",SemiFinal,OTHER,U21MS,854,Main Draw,MARTINEZ Livan (CUB),VILA Isaac (DOM),,,3 - 1,13:11 11:7 10:12 11:7,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,ECHEVARRIA Sebastian,CUB,PUR,3,2,"11,8,11,11|4,11,9,13",SemiFinal,OTHER,U21MS,854,Main Draw,HERNANDEZ Carlos (CUB),ECHEVARRIA Sebastian (PUR),,,3 - 2,11:4 8:11 11:9 11:13,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,HERNANDEZ Carlos,CUB,CUB,4,0,"12,11,11,11|10,9,3,9",Final,OTHER,U21MS,854,Main Draw,MARTINEZ Livan (CUB),HERNANDEZ Carlos (CUB),,,4 - 0,12:10 11:9 11:3 11:9,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,GRANT Baggio,CUB,SKN,3,0,"11,11,11|2,1,4",,OTHER,MT,854,Qualification,GRANT Baggio (SKN),MARTINEZ Livan (CUB),,,0 - 3,2:11 1:11 4:11,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,CAMPOS Jorge,LAKE Calvin,CUB,SKN,3,0,"11,11,11|7,3,4",,OTHER,MT,854,Qualification,LAKE Calvin (SKN),CAMPOS Jorge (CUB),,,0 - 3,7:11 3:11 4:11,CAMPOS Jorge,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,LAKE Trehdel,CUB,SKN,3,0,"11,11,11|1,3,2",,OTHER,MT,854,Qualification,LAKE Trehdel (SKN),HERNANDEZ Carlos (CUB),,,0 - 3,1:11 3:11 2:11,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,SANTOS Emil,FRANKLIN Christopher,DOM,GUY,3,0,"11,11,11|4,3,4",,OTHER,MT,854,Qualification,SANTOS Emil (DOM),FRANKLIN Christopher (GUY),,,3 - 0,11:4 11:3 11:4,SANTOS Emil,2017
Caribbean Championships Havana 2017,2017-07-18,GALVEZ Samuel,BRITTON Shemar,DOM,GUY,3,1,"9,11,12,11|11,9,10,4",,OTHER,MT,854,Qualification,GALVEZ Samuel (DOM),BRITTON Shemar (GUY),,,3 - 1,9:11 11:9 12:10 11:4,GALVEZ Samuel,2017
Caribbean Championships Havana 2017,2017-07-18,VILA Isaac,BRYAN Nigel,DOM,GUY,3,1,"10,11,11,11|12,4,6,6",,OTHER,MT,854,Qualification,VILA Isaac (DOM),BRYAN Nigel (GUY),,,3 - 1,10:12 11:4 11:6 11:6,VILA Isaac,2017
Caribbean Championships Havana 2017,2017-07-18,TOMLINSON Simon,CORRIETTE Donald,JAM,DMA,3,0,"11,11,11|4,6,3",,OTHER,MT,854,Qualification,TOMLINSON Simon (JAM),CORRIETTE Donald (DMA),,,3 - 0,11:4 11:6 11:3,TOMLINSON Simon,2017
Caribbean Championships Havana 2017,2017-07-18,WATSON Kane,BERRIDGE Edger,JAM,DMA,3,0,"11,11,11|3,7,9",,OTHER,MT,854,Qualification,WATSON Kane (JAM),BERRIDGE Edger (DMA),,,3 - 0,11:3 11:7 11:9,WATSON Kane,2017
Caribbean Championships Havana 2017,2017-07-18,BROWN Rajni Gavin,LEWIS Jaleel,JAM,DMA,3,0,"11,11,11|6,5,5",,OTHER,MT,854,Qualification,BROWN Rajni Gavin (JAM),LEWIS Jaleel (DMA),,,3 - 0,11:6 11:5 11:5,BROWN Rajni Gavin,2017
Caribbean Championships Havana 2017,2017-07-18,HERNANDEZ Carlos,CHUNG Benny,CUB,ARU,3,0,"11,11,11|5,6,4",,OTHER,MT,854,Qualification,CHUNG Benny (ARU),HERNANDEZ Carlos (CUB),,,0 - 3,5:11 6:11 4:11,HERNANDEZ Carlos,2017
Caribbean Championships Havana 2017,2017-07-18,CAMPOS Jorge,PAREDES Johnatan,CUB,ARU,3,0,"11,11,11|1,3,3",,OTHER,MT,854,Qualification,PAREDES Johnatan (ARU),CAMPOS Jorge (CUB),,,0 - 3,1:11 3:11 3:11,CAMPOS Jorge,2017
Caribbean Championships Havana 2017,2017-07-18,PEREIRA Andy,HOEK Jean Claude,CUB,ARU,3,0,"11,11,11|4,2,4",,OTHER,MT,854,Qualification,HOEK Jean Claude (ARU),PEREIRA Andy (CUB),,,0 - 3,4:11 2:11 4:11,PEREIRA Andy,2017
Caribbean Championships Havana 2017,2017-07-18,BERRIOS Hector,GALVEZ Samuel,PUR,DOM,3,1,"11,11,12,11|3,9,14,9",,OTHER,MT,854,Qualification,BERRIOS Hector (PUR),GALVEZ Samuel (DOM),,,3 - 1,11:3 11:9 12:14 11:9,BERRIOS Hector,2017
Caribbean Championships Havana 2017,2017-07-18,SANTOS Emil,JIMENEZ Ricardo,DOM,PUR,3,1,"8,11,11,11|11,4,7,7",,OTHER,MT,854,Qualification,JIMENEZ Ricardo (PUR),SANTOS Emil (DOM),,,1 - 3,11:8 4:11 7:11 7:11,SANTOS Emil,2017
Caribbean Championships Havana 2017,2017-07-18,SANTOS Emil,BERRIOS Hector,DOM,PUR,3,0,"11,11,11|4,7,8",,OTHER,MT,854,Qualification,BERRIOS Hector (PUR),SANTOS Emil (DOM),,,0 - 3,4:11 7:11 8:11,SANTOS Emil,2017
Caribbean Championships Havana 2017,2017-07-18,ALBERT Adrian,WATSON Kane,LCA,JAM,3,0,"11,13,14|7,11,12",,OTHER,MT,854,Qualification,ALBERT Adrian (LCA),WATSON Kane (JAM),,,3 - 0,11:7 13:11 14:12,ALBERT Adrian,2017
Caribbean Championships Havana 2017,2017-07-18,TOMLINSON Simon,WELLS Chris,JAM,LCA,3,2,"9,8,11,11|11,11,8,6",,OTHER,MT,854,Qualification,WELLS Chris (LCA),TOMLINSON Simon (JAM),,,2 - 3,11:9 11:8 8:11 6:11,TOMLINSON Simon,2017
Caribbean Championships Havana 2017,2017-07-18,DAVIDSON Kyle,DANIELS Andrew,JAM,LCA,3,1,"11,11,9,11|8,5,11,8",,OTHER,MT,854,Qualification,DANIELS Andrew (LCA),DAVIDSON Kyle (JAM),,,1 - 3,8:11 5:11 11:9 8:11,DAVIDSON Kyle,2017
Caribbean Championships Havana 2017,2017-07-18,TOMLINSON Simon,ALBERT Adrian,JAM,LCA,3,1,"11,11,8,11|7,7,11,6",,OTHER,MT,854,Qualification,ALBERT Adrian (LCA),TOMLINSON Simon (JAM),,,1 - 3,7:11 7:11 11:8 6:11,TOMLINSON Simon,2017
Caribbean Championships Havana 2017,2017-07-18,HOEK Jean Claude,GRANT Baggio,ARU,SKN,3,0,"11,11,11|8,5,8",,OTHER,MT,854,Qualification,GRANT Baggio (SKN),HOEK Jean Claude (ARU),,,0 - 3,8:11 5:11 8:11,HOEK Jean Claude,2017
Caribbean Championships Havana 2017,2017-07-18,PAREDES Johnatan,LAKE Trehdel,ARU,SKN,3,0,"11,11,11|5,1,3",,OTHER,MT,854,Qualification,LAKE Trehdel (SKN),PAREDES Johnatan (ARU),,,0 - 3,5:11 1:11 3:11,PAREDES Johnatan,2017
Caribbean Championships Havana 2017,2017-07-18,CHUNG Benny,LAKE Calvin,ARU,SKN,3,0,"11,11,11|6,5,6",,OTHER,MT,854,Qualification,LAKE Calvin (SKN),CHUNG Benny (ARU),,,0 - 3,6:11 5:11 6:11,CHUNG Benny,2017
Caribbean Championships Havana 2017,2017-07-18,JIMENEZ Ricardo,FRANKLIN Christopher,PUR,GUY,3,0,"11,14,11|6,12,6",,OTHER,MT,854,Qualification,JIMENEZ Ricardo (PUR),FRANKLIN Christopher (GUY),,,3 - 0,11:6 14:12 11:6,JIMENEZ Ricardo,2017
Caribbean Championships Havana 2017,2017-07-18,BRITTON Shemar,ECHEVARRIA Sebastian,GUY,PUR,3,1,"11,9,11,12|9,11,8,10",,OTHER,MT,854,Qualification,ECHEVARRIA Sebastian (PUR),BRITTON Shemar (GUY),,,1 - 3,9:11 11:9 8:11 10:12,BRITTON Shemar,2017
Caribbean Championships Havana 2017,2017-07-18,BERRIOS Hector,ALLEYNE Joel,PUR,GUY,3,0,"11,11,11|5,9,8",,OTHER,MT,854,Qualification,BERRIOS Hector (PUR),ALLEYNE Joel (GUY),,,3 - 0,11:5 11:9 11:8,BERRIOS Hector,2017
Caribbean Championships Havana 2017,2017-07-18,JIMENEZ Ricardo,BRITTON Shemar,PUR,GUY,3,0,"11,11,12|9,1,10",,OTHER,MT,854,Qualification,JIMENEZ Ricardo (PUR),BRITTON Shemar (GUY),,,3 - 0,11:9 11:1 12:10,JIMENEZ Ricardo,2017
Caribbean Championships Havana 2017,2017-07-18,ALBERT Adrian,CORRIETTE Donald,LCA,DMA,3,0,"11,11,11|7,3,3",,OTHER,MT,854,Qualification,ALBERT Adrian (LCA),CORRIETTE Donald (DMA),,,3 - 0,11:7 11:3 11:3,ALBERT Adrian,2017
Caribbean Championships Havana 2017,2017-07-18,BERRIDGE Edger,WELLS Chris,DMA,LCA,3,1,"6,11,11,11|11,9,5,7",,OTHER,MT,854,Qualification,WELLS Chris (LCA),BERRIDGE Edger (DMA),,,1 - 3,11:6 9:11 5:11 7:11,BERRIDGE Edger,2017
Caribbean Championships Havana 2017,2017-07-18,DANIELS Andrew,SEAMAN Chea,LCA,DMA,3,0,"11,11,11|3,8,7",,OTHER,MT,854,Qualification,DANIELS Andrew (LCA),SEAMAN Chea (DMA),,,3 - 0,11:3 11:8 11:7,DANIELS Andrew,2017
Caribbean Championships Havana 2017,2017-07-18,ALBERT Adrian,BERRIDGE Edger,LCA,DMA,3,0,"11,13,11|8,11,7",,OTHER,MT,854,Qualification,ALBERT Adrian (LCA),BERRIDGE Edger (DMA),,,3 - 0,11:8 13:11 11:7,ALBERT Adrian,2017
Caribbean Championships Havana 2017,2017-07-18,JIMENEZ Ricardo,TOMLINSON Simon,PUR,JAM,3,1,"11,7,13,11|8,11,11,9",,OTHER,MT,854,Main Draw,TOMLINSON Simon (JAM),JIMENEZ Ricardo (PUR),,,1 - 3,8:11 11:7 11:13 9:11,JIMENEZ Ricardo,2017
Caribbean Championships Havana 2017,2017-07-18,BERRIOS Hector,BROWN Rajni Gavin,PUR,JAM,3,0,"11,11,11|3,4,6",,OTHER,MT,854,Main Draw,BROWN Rajni Gavin (JAM),BERRIOS Hector (PUR),,,0 - 3,3:11 4:11 6:11,BERRIOS Hector,2017
Caribbean Championships Havana 2017,2017-07-18,ALBERT Adrian,PAREDES Johnatan,LCA,ARU,3,0,"11,11,11|1,5,7",,OTHER,MT,854,Main Draw,ALBERT Adrian (LCA),PAREDES Johnatan (ARU),,,3 - 0,11:1 11:5 11:7,ALBERT Adrian,2017
Caribbean Championships Havana 2017,2017-07-18,CHUNG Benny,WELLS Chris,ARU,LCA,3,1,"8,12,11,13|11,10,8,11",,OTHER,MT,854,Main Draw,WELLS Chris (LCA),CHUNG Benny (ARU),,,1 - 3,11:8 10:12 8:11 11:13,CHUNG Benny,2017
Caribbean Championships Havana 2017,2017-07-18,HOEK Jean Claude,DANIELS Andrew,ARU,LCA,3,0,"11,12,11|3,10,8",,OTHER,MT,854,Main Draw,DANIELS Andrew (LCA),HOEK Jean Claude (ARU),,,0 - 3,3:11 10:12 8:11,HOEK Jean Claude,2017
Caribbean Championships Havana 2017,2017-07-18,PAREDES Johnatan,WELLS Chris,ARU,LCA,3,2,"8,11,11,5|11,6,5,11",,OTHER,MT,854,Main Draw,WELLS Chris (LCA),PAREDES Johnatan (ARU),,,2 - 3,11:8 6:11 5:11 11:5,PAREDES Johnatan,2017
Caribbean Championships Havana 2017,2017-07-18,MARTINEZ Livan,BERRIOS Hector,CUB,PUR,3,1,"9,17,14,11|11,15,12,7",,OTHER,MT,854,Main Draw,BERRIOS Hector (PUR),MARTINEZ Livan (CUB),,,1 - 3,11:9 15:17 12:14 7:11,MARTINEZ Livan,2017
Caribbean Championships Havana 2017,2017-07-18,CAMPOS Jorge,JIMENEZ Ricardo,CUB,PUR,3,1,"7,11,11,11|11,3,5,9",,OTHER,MT,854,Main Draw,JIMENEZ Ricardo (PUR),CAMPOS Jorge (CUB),,,1 - 3,11:7 3:11 5:11 9:11,CAMPOS Jorge,2017
Caribbean Championships Havana 2017,2017-07-18,CAMPOS Jorge,BERRIOS Hector,CUB,PUR,3,2,"6,11,11,7|11,4,5,11",,OTHER,MT,854,Main Draw,BERRIOS Hector (PUR),CAMPOS Jorge (CUB),,,2 - 3,11:6 4:11 5:11 11:7,CAMPOS Jorge,2017
Caribbean Championships Havana 2017,2017-07-18,GALVEZ Samuel,CHUNG Benny,DOM,ARU,3,0,"11,11,11|5,4,5",,OTHER,MT,854,Main Draw,CHUNG Benny (ARU),GALVEZ Samuel (DOM),,,0 - 3,5:11 4:11 5:11,GALVEZ Samuel,2017
Caribbean Championships Havana 2017,2017-07-18,SANTOS Emil,PAREDES Johnatan,DOM,ARU,3,0,"11,11,11|3,3,4",,OTHER,MT,854,Main Draw,PAREDES Johnatan (ARU),SANTOS Emil (DOM),,,0 - 3,3:11 3:11 4:11,SANTOS Emil,2017
