tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
US Open Florida Orlando 2018,2018-12-17,ZHANG Kai,FUJIKI Shoji,USA,JPN,4,2,"12,9,3,13,11,11|10,11,11,11,6,4",R64,WTT_CONTENDER,MS,1996,Main Draw,FUJIKI Shoji (JPN),ZHANG Kai (USA),,,2 - 4,10:12 11:9 11:3 11:13 6:11 4:11,ZHANG Kai,2018
Mediterranean Games Tarragona 2018,2018-06-22,ROBINOT Alexandre,MAHMUTI Kreshnik,FRA,KOS,4,0,"11,11,11,11|1,6,7,2",,OTHER,MS,1026,Qualification,ROBINOT Alexandre (FRA),MAHMUTI Kreshnik (KOS),,,4 - 0,11:1 11:6 11:7 11:2,ROBINOT Alexandre,2018
Mediterranean Games Tarragona 2018,2018-06-22,CARVALHO Diogo,TOSUNI Sadush,POR,ALB,4,0,"11,11,11,11|8,4,7,3",,OTHER,MS,1026,Qualification,CARVALHO Diogo (POR),TOSUNI Sadush (ALB),,,4 - 0,11:8 11:4 11:7 11:3,CARVALHO Diogo,2018
Mediterranean Games Tarragona 2018,2018-06-22,GUNDUZ Ibrahim,KARABAXHAK Fatih,TUR,KOS,4,0,"0,0,0,0|0,0,0,0",,OTHER,MS,1026,Qualification,GUNDUZ Ibrahim (TUR),KARABAXHAK Fatih (KOS),,,4 - 0,0:0 0:0 0:0 0:0,GUNDUZ Ibrahim,2018
Mediterranean Games Tarragona 2018,2018-06-22,CANTERO Jesus,KONSTANTINOPOULOS Konstantinos,ESP,GRE,4,1,"11,11,11,6,11|4,6,8,11,8",,OTHER,MS,1026,Qualification,CANTERO Jesus (ESP),KONSTANTINOPOULOS Konstantinos (GRE),,,4 - 1,11:4 11:6 11:8 6:11 11:8,CANTERO Jesus,2018
Mediterranean Games Tarragona 2018,2018-06-22,KOZUL Deni,STANOJKOVSKI Kristijan,SLO,MKD,4,0,"11,11,11,11|4,5,3,8",,OTHER,MS,1026,Qualification,KOZUL Deni (SLO),STANOJKOVSKI Kristijan (MKD),,,4 - 0,11:4 11:5 11:3 11:8,KOZUL Deni,2018
Mediterranean Games Tarragona 2018,2018-06-22,SEYFRIED Joe,HAMIE Mohamad,FRA,LBN,4,1,"9,11,11,11,11|11,9,6,2,6",,OTHER,MS,1026,Qualification,SEYFRIED Joe (FRA),HAMIE Mohamad (LBN),,,4 - 1,9:11 11:9 11:6 11:2 11:6,SEYFRIED Joe,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,COLANTONI Chiara,EGY,ITA,4,1,"11,11,11,11,11|13,7,5,4,6",,OTHER,WS,1026,Qualification,MESHREF Dina (EGY),COLANTONI Chiara (ITA),,,4 - 1,11:13 11:7 11:5 11:4 11:6,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,SINGH Elish,YILMAZ Ozge,NEP,TUR,4,0,"11,11,11,11|6,1,1,1",,OTHER,WS,1026,Qualification,SINGH Elish (NEP),YILMAZ Ozge (TUR),,,4 - 0,11:6 11:1 11:1 11:1,SINGH Elish,2018
Mediterranean Games Tarragona 2018,2018-06-22,XIAO Maria,ALTINKAYA Sibel,ESP,TUR,4,2,"8,11,11,10,11,11|11,5,6,12,8,8",,OTHER,WS,1026,Qualification,XIAO Maria (ESP),ALTINKAYA Sibel (TUR),,,4 - 2,8:11 11:5 11:6 10:12 11:8 11:8,XIAO Maria,2018
Mediterranean Games Tarragona 2018,2018-06-22,LUPULESKU Izabela,LOEUILLETTE Stephanie,SRB,FRA,4,2,"9,11,11,11,11,11|11,8,2,13,4,9",,OTHER,WS,1026,Qualification,LOEUILLETTE Stephanie (FRA),LUPULESKU Izabela (SRB),,,2 - 4,11:9 8:11 2:11 13:11 4:11 9:11,LUPULESKU Izabela,2018
Mediterranean Games Tarragona 2018,2018-06-22,PICCOLIN Giorgia,OLIVEIRA Leila,ITA,POR,4,1,"11,12,11,7,11|8,10,9,11,4",,OTHER,WS,1026,Qualification,PICCOLIN Giorgia (ITA),OLIVEIRA Leila (POR),,,4 - 1,11:8 12:10 11:9 7:11 11:4,PICCOLIN Giorgia,2018
Mediterranean Games Tarragona 2018,2018-06-22,TOLIOU Aikaterini,GALIC Alex,GRE,SLO,4,2,"11,11,10,11,6,11|9,7,12,5,11,5",,OTHER,WS,1026,Qualification,GALIC Alex (SLO),TOLIOU Aikaterini (GRE),,,2 - 4,9:11 7:11 12:10 5:11 11:6 5:11,TOLIOU Aikaterini,2018
Mediterranean Games Tarragona 2018,2018-06-22,DVORAK Galia,ABDELAZIZ Farah,ESP,EGY,4,0,"11,15,11,11|7,13,8,8",,OTHER,WS,1026,Qualification,DVORAK Galia (ESP),ABDELAZIZ Farah (EGY),,,4 - 0,11:7 15:13 11:8 11:8,DVORAK Galia,2018
Mediterranean Games Tarragona 2018,2018-06-22,HADZIAHMETOVIC Emina,ZARIF Audrey,BIH,FRA,4,3,"6,8,11,4,11,12,11|11,11,2,11,9,10,8",,OTHER,WS,1026,Qualification,ZARIF Audrey (FRA),HADZIAHMETOVIC Emina (BIH),,,3 - 4,11:6 11:8 2:11 11:4 9:11 10:12 8:11,HADZIAHMETOVIC Emina,2018
Mediterranean Games Tarragona 2018,2018-06-22,ASSAR Omar,CARVALHO Diogo,EGY,POR,4,1,"11,11,11,11,11|7,6,7,13,5",,OTHER,MS,1026,Qualification,ASSAR Omar (EGY),CARVALHO Diogo (POR),,,4 - 1,11:7 11:6 11:7 11:13 11:5,ASSAR Omar,2018
Mediterranean Games Tarragona 2018,2018-06-22,GUNDUZ Ibrahim,YIANGOU Marios,TUR,CYP,4,2,"4,11,11,10,11,11|11,9,3,12,8,6",,OTHER,MS,1026,Qualification,GUNDUZ Ibrahim (TUR),YIANGOU Marios (CYP),,,4 - 2,4:11 11:9 11:3 10:12 11:8 11:6,GUNDUZ Ibrahim,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,LI Ahmet,SLO,TUR,4,0,"11,11,11,11|6,8,9,4",,OTHER,MS,1026,Qualification,JORGIC Darko (SLO),LI Ahmet (TUR),,,4 - 0,11:6 11:8 11:9 11:4,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,ROBINOT Alexandre,KHEROUF Sami,FRA,ALG,4,0,"11,11,11,11|6,3,7,8",,OTHER,MS,1026,Qualification,ROBINOT Alexandre (FRA),KHEROUF Sami (ALG),,,4 - 0,11:6 11:3 11:7 11:8,ROBINOT Alexandre,2018
Mediterranean Games Tarragona 2018,2018-06-22,BOBOCICA Mihai,CHEN Diogo,ITA,POR,4,2,"7,11,7,12,11,11|11,7,11,10,7,5",,OTHER,MS,1026,Qualification,BOBOCICA Mihai (ITA),CHEN Diogo (POR),,,4 - 2,7:11 11:7 7:11 12:10 11:7 11:5,BOBOCICA Mihai,2018
Mediterranean Games Tarragona 2018,2018-06-22,SGOUROPOULOS Ioannis,KOZUL Deni,GRE,SLO,4,3,"7,11,14,6,11,11,11|11,8,16,11,6,7,6",,OTHER,MS,1026,Qualification,KOZUL Deni (SLO),SGOUROPOULOS Ioannis (GRE),,,3 - 4,11:7 8:11 16:14 11:6 6:11 7:11 6:11,SGOUROPOULOS Ioannis,2018
Mediterranean Games Tarragona 2018,2018-06-22,STOYANOV Niagol,SEYFRIED Joe,ITA,FRA,4,0,"11,11,11,11|9,3,7,9",,OTHER,MS,1026,Qualification,STOYANOV Niagol (ITA),SEYFRIED Joe (FRA),,,4 - 0,11:9 11:3 11:7 11:9,STOYANOV Niagol,2018
Mediterranean Games Tarragona 2018,2018-06-22,CANTERO Jesus,ELBEIALI Mohamed,ESP,EGY,4,3,"11,8,9,15,11,9,11|8,11,11,13,8,11,6",,OTHER,MS,1026,Qualification,ELBEIALI Mohamed (EGY),CANTERO Jesus (ESP),,,3 - 4,8:11 11:8 11:9 13:15 8:11 11:9 6:11,CANTERO Jesus,2018
Mediterranean Games Tarragona 2018,2018-06-22,COLANTONI Chiara,YILMAZ Ozge,ITA,TUR,4,2,"11,12,11,5,7,11|8,10,7,11,11,7",,OTHER,WS,1026,Qualification,COLANTONI Chiara (ITA),YILMAZ Ozge (TUR),,,4 - 2,11:8 12:10 11:7 5:11 7:11 11:7,COLANTONI Chiara,2018
Mediterranean Games Tarragona 2018,2018-06-22,SINGH Elish,MESHREF Dina,NEP,EGY,4,3,"11,11,11,6,6,10,11|8,6,8,11,11,12,8",,OTHER,WS,1026,Qualification,MESHREF Dina (EGY),SINGH Elish (NEP),,,3 - 4,8:11 6:11 8:11 11:6 11:6 12:10 8:11,SINGH Elish,2018
Mediterranean Games Tarragona 2018,2018-06-22,TOLIOU Aikaterini,OLIVEIRA Leila,GRE,POR,4,0,"0,0,0,0|0,0,0,0",,OTHER,WS,1026,Qualification,OLIVEIRA Leila (POR),TOLIOU Aikaterini (GRE),,,0 - 4,0:0 0:0 0:0 0:0,TOLIOU Aikaterini,2018
Mediterranean Games Tarragona 2018,2018-06-22,PICCOLIN Giorgia,GALIC Alex,ITA,SLO,4,1,"11,13,11,7,11|6,11,8,11,8",,OTHER,WS,1026,Qualification,PICCOLIN Giorgia (ITA),GALIC Alex (SLO),,,4 - 1,11:6 13:11 11:8 7:11 11:8,PICCOLIN Giorgia,2018
Mediterranean Games Tarragona 2018,2018-06-22,LUPULESKU Izabela,ALTINKAYA Sibel,SRB,TUR,4,1,"11,7,11,11,11|3,11,9,5,9",,OTHER,WS,1026,Qualification,ALTINKAYA Sibel (TUR),LUPULESKU Izabela (SRB),,,1 - 4,3:11 11:7 9:11 5:11 9:11,LUPULESKU Izabela,2018
Mediterranean Games Tarragona 2018,2018-06-22,XIAO Maria,LOEUILLETTE Stephanie,ESP,FRA,4,2,"7,11,7,11,11,11|11,7,11,4,9,1",,OTHER,WS,1026,Qualification,XIAO Maria (ESP),LOEUILLETTE Stephanie (FRA),,,4 - 2,7:11 11:7 7:11 11:4 11:9 11:1,XIAO Maria,2018
Mediterranean Games Tarragona 2018,2018-06-22,ABDELAZIZ Farah,HADZIAHMETOVIC Emina,EGY,BIH,4,2,"11,7,14,7,11,11|5,11,12,11,7,7",,OTHER,WS,1026,Qualification,ABDELAZIZ Farah (EGY),HADZIAHMETOVIC Emina (BIH),,,4 - 2,11:5 7:11 14:12 7:11 11:7 11:7,ABDELAZIZ Farah,2018
Mediterranean Games Tarragona 2018,2018-06-22,DVORAK Galia,ZARIF Audrey,ESP,FRA,4,0,"12,12,11,11|10,10,9,9",,OTHER,WS,1026,Qualification,DVORAK Galia (ESP),ZARIF Audrey (FRA),,,4 - 0,12:10 12:10 11:9 11:9,DVORAK Galia,2018
Mediterranean Games Tarragona 2018,2018-06-22,ASSAR Omar,GUNDUZ Ibrahim,EGY,TUR,4,3,"11,9,11,8,9,11,14|7,11,4,11,11,8,12",,OTHER,MS,1026,Qualification,ASSAR Omar (EGY),GUNDUZ Ibrahim (TUR),,,4 - 3,11:7 9:11 11:4 8:11 9:11 11:8 14:12,ASSAR Omar,2018
Mediterranean Games Tarragona 2018,2018-06-22,CARVALHO Diogo,YIANGOU Marios,POR,CYP,4,2,"11,9,6,12,11,13|7,11,11,10,9,11",,OTHER,MS,1026,Qualification,CARVALHO Diogo (POR),YIANGOU Marios (CYP),,,4 - 2,11:7 9:11 6:11 12:10 11:9 13:11,CARVALHO Diogo,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,ROBINOT Alexandre,SLO,FRA,4,2,"12,11,4,4,13,11|10,8,11,11,11,9",,OTHER,MS,1026,Qualification,JORGIC Darko (SLO),ROBINOT Alexandre (FRA),,,4 - 2,12:10 11:8 4:11 4:11 13:11 11:9,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,KHEROUF Sami,LI Ahmet,ALG,TUR,4,0,"0,0,0,0|0,0,0,0",,OTHER,MS,1026,Qualification,LI Ahmet (TUR),KHEROUF Sami (ALG),,,0 - 4,0:0 0:0 0:0 0:0,KHEROUF Sami,2018
Mediterranean Games Tarragona 2018,2018-06-22,SEYFRIED Joe,CANTERO Jesus,FRA,ESP,4,2,"11,10,11,11,11,11|5,12,6,13,9,8",,OTHER,MS,1026,Qualification,SEYFRIED Joe (FRA),CANTERO Jesus (ESP),,,4 - 2,11:5 10:12 11:6 11:13 11:9 11:8,SEYFRIED Joe,2018
Mediterranean Games Tarragona 2018,2018-06-22,STOYANOV Niagol,ELBEIALI Mohamed,ITA,EGY,4,2,"11,9,9,12,13,11|6,11,11,10,11,7",,OTHER,MS,1026,Qualification,STOYANOV Niagol (ITA),ELBEIALI Mohamed (EGY),,,4 - 2,11:6 9:11 9:11 12:10 13:11 11:7,STOYANOV Niagol,2018
Mediterranean Games Tarragona 2018,2018-06-22,SGOUROPOULOS Ioannis,CHEN Diogo,GRE,POR,4,1,"11,7,11,11,13|3,11,3,9,11",,OTHER,MS,1026,Qualification,CHEN Diogo (POR),SGOUROPOULOS Ioannis (GRE),,,1 - 4,3:11 11:7 3:11 9:11 11:13,SGOUROPOULOS Ioannis,2018
Mediterranean Games Tarragona 2018,2018-06-22,KOZUL Deni,BOBOCICA Mihai,SLO,ITA,4,3,"11,8,7,11,6,11,11|9,11,11,7,11,8,5",,OTHER,MS,1026,Qualification,BOBOCICA Mihai (ITA),KOZUL Deni (SLO),,,3 - 4,9:11 11:8 11:7 7:11 11:6 8:11 5:11,KOZUL Deni,2018
Mediterranean Games Tarragona 2018,2018-06-22,LUPULESKU Izabela,XIAO Maria,SRB,ESP,4,2,"9,9,11,11,11,11|11,11,4,9,8,8",,OTHER,WS,1026,Qualification,XIAO Maria (ESP),LUPULESKU Izabela (SRB),,,2 - 4,11:9 11:9 4:11 9:11 8:11 8:11,LUPULESKU Izabela,2018
Mediterranean Games Tarragona 2018,2018-06-22,ALTINKAYA Sibel,LOEUILLETTE Stephanie,TUR,FRA,4,3,"6,10,11,13,11,6,11|11,12,8,11,7,11,6",,OTHER,WS,1026,Qualification,LOEUILLETTE Stephanie (FRA),ALTINKAYA Sibel (TUR),,,3 - 4,11:6 12:10 8:11 11:13 7:11 11:6 6:11,ALTINKAYA Sibel,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,YILMAZ Ozge,EGY,TUR,4,0,"11,11,11,11|8,7,7,4",,OTHER,WS,1026,Qualification,MESHREF Dina (EGY),YILMAZ Ozge (TUR),,,4 - 0,11:8 11:7 11:7 11:4,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,SINGH Elish,COLANTONI Chiara,NEP,ITA,4,1,"11,11,10,11,11|4,6,12,4,2",,OTHER,WS,1026,Qualification,SINGH Elish (NEP),COLANTONI Chiara (ITA),,,4 - 1,11:4 11:6 10:12 11:4 11:2,SINGH Elish,2018
Mediterranean Games Tarragona 2018,2018-06-22,HADZIAHMETOVIC Emina,DVORAK Galia,BIH,ESP,4,2,"11,6,11,12,5,11|9,11,8,10,11,7",,OTHER,WS,1026,Qualification,DVORAK Galia (ESP),HADZIAHMETOVIC Emina (BIH),,,2 - 4,9:11 11:6 8:11 10:12 11:5 7:11,HADZIAHMETOVIC Emina,2018
Mediterranean Games Tarragona 2018,2018-06-22,ABDELAZIZ Farah,ZARIF Audrey,EGY,FRA,4,0,"11,11,11,11|9,7,7,3",,OTHER,WS,1026,Qualification,ZARIF Audrey (FRA),ABDELAZIZ Farah (EGY),,,0 - 4,9:11 7:11 7:11 3:11,ABDELAZIZ Farah,2018
Mediterranean Games Tarragona 2018,2018-06-22,YIANGOU Marios,ASSAR Omar,CYP,EGY,4,0,"0,0,0,0|0,0,0,0",,OTHER,MS,1026,Qualification,ASSAR Omar (EGY),YIANGOU Marios (CYP),,,0 - 4,0:0 0:0 0:0 0:0,YIANGOU Marios,2018
Mediterranean Games Tarragona 2018,2018-06-22,GALIC Alex,OLIVEIRA Leila,SLO,POR,4,0,"0,0,0,0|0,0,0,0",,OTHER,WS,1026,Qualification,GALIC Alex (SLO),OLIVEIRA Leila (POR),,,4 - 0,0:0 0:0 0:0 0:0,GALIC Alex,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,KHEROUF Sami,SLO,ALG,4,0,"16,11,11,11|14,5,9,3",,OTHER,MS,1026,Qualification,JORGIC Darko (SLO),KHEROUF Sami (ALG),,,4 - 0,16:14 11:5 11:9 11:3,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,ROBINOT Alexandre,LI Ahmet,FRA,TUR,4,0,"0,0,0,0|0,0,0,0",,OTHER,MS,1026,Qualification,ROBINOT Alexandre (FRA),LI Ahmet (TUR),,,4 - 0,0:0 0:0 0:0 0:0,ROBINOT Alexandre,2018
Mediterranean Games Tarragona 2018,2018-06-22,PICCOLIN Giorgia,TOLIOU Aikaterini,ITA,GRE,4,3,"10,5,11,12,12,5,11|12,11,9,10,10,11,9",,OTHER,WS,1026,Qualification,PICCOLIN Giorgia (ITA),TOLIOU Aikaterini (GRE),,,4 - 3,10:12 5:11 11:9 12:10 12:10 5:11 11:9,PICCOLIN Giorgia,2018
Mediterranean Games Tarragona 2018,2018-06-22,CARVALHO Diogo,GUNDUZ Ibrahim,POR,TUR,4,1,"6,11,11,11,11|11,9,8,8,9",,OTHER,MS,1026,Qualification,GUNDUZ Ibrahim (TUR),CARVALHO Diogo (POR),,,1 - 4,11:6 9:11 8:11 8:11 9:11,CARVALHO Diogo,2018
Mediterranean Games Tarragona 2018,2018-06-22,CANTERO Jesus,STOYANOV Niagol,ESP,ITA,4,3,"11,10,2,7,11,11,15|7,12,11,11,5,8,13",,OTHER,MS,1026,Qualification,STOYANOV Niagol (ITA),CANTERO Jesus (ESP),,,3 - 4,7:11 12:10 11:2 11:7 5:11 8:11 13:15,CANTERO Jesus,2018
Mediterranean Games Tarragona 2018,2018-06-22,ELBEIALI Mohamed,SEYFRIED Joe,EGY,FRA,4,1,"4,11,11,11,11|11,5,8,9,5",,OTHER,MS,1026,Qualification,ELBEIALI Mohamed (EGY),SEYFRIED Joe (FRA),,,4 - 1,4:11 11:5 11:8 11:9 11:5,ELBEIALI Mohamed,2018
Mediterranean Games Tarragona 2018,2018-06-22,BOBOCICA Mihai,SGOUROPOULOS Ioannis,ITA,GRE,4,1,"7,12,11,11,11|11,10,3,3,6",,OTHER,MS,1026,Qualification,BOBOCICA Mihai (ITA),SGOUROPOULOS Ioannis (GRE),,,4 - 1,7:11 12:10 11:3 11:3 11:6,BOBOCICA Mihai,2018
Mediterranean Games Tarragona 2018,2018-06-22,KOZUL Deni,CHEN Diogo,SLO,POR,4,2,"11,8,11,11,10,11|5,11,6,7,12,3",,OTHER,MS,1026,Qualification,KOZUL Deni (SLO),CHEN Diogo (POR),,,4 - 2,11:5 8:11 11:6 11:7 10:12 11:3,KOZUL Deni,2018
Mediterranean Games Tarragona 2018,2018-06-22,SINGH Elish,XIAO Maria,NEP,ESP,4,1,"8,11,11,11,11|11,2,8,5,5",QuarterFinal,OTHER,WS,1026,Main Draw,SINGH Elish (NEP),XIAO Maria (ESP),,,4 - 1,8:11 11:2 11:8 11:5 11:5,SINGH Elish,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,PICCOLIN Giorgia,EGY,ITA,4,1,"12,11,9,11,11|10,8,11,7,9",QuarterFinal,OTHER,WS,1026,Main Draw,PICCOLIN Giorgia (ITA),MESHREF Dina (EGY),,,1 - 4,10:12 8:11 11:9 7:11 9:11,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,LUPULESKU Izabela,HADZIAHMETOVIC Emina,SRB,BIH,4,2,"13,8,8,11,11,11|11,11,11,4,5,6",QuarterFinal,OTHER,WS,1026,Main Draw,HADZIAHMETOVIC Emina (BIH),LUPULESKU Izabela (SRB),,,2 - 4,11:13 11:8 11:8 4:11 5:11 6:11,LUPULESKU Izabela,2018
Mediterranean Games Tarragona 2018,2018-06-22,CANTERO Jesus,KOZUL Deni,ESP,SLO,4,3,"6,11,4,11,10,11,12|11,5,11,9,12,5,10",QuarterFinal,OTHER,MS,1026,Main Draw,KOZUL Deni (SLO),CANTERO Jesus (ESP),,,3 - 4,11:6 5:11 11:4 9:11 12:10 5:11 10:12,CANTERO Jesus,2018
Mediterranean Games Tarragona 2018,2018-06-22,GUNDUZ Ibrahim,BOBOCICA Mihai,TUR,ITA,4,3,"10,10,11,11,1,14,11|12,12,6,6,11,12,7",QuarterFinal,OTHER,MS,1026,Main Draw,BOBOCICA Mihai (ITA),GUNDUZ Ibrahim (TUR),,,3 - 4,12:10 12:10 6:11 6:11 11:1 12:14 7:11,GUNDUZ Ibrahim,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,STOYANOV Niagol,SLO,ITA,4,1,"11,11,11,4,11|5,8,6,11,7",QuarterFinal,OTHER,MS,1026,Main Draw,STOYANOV Niagol (ITA),JORGIC Darko (SLO),,,1 - 4,5:11 8:11 6:11 11:4 7:11,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,LUPULESKU Izabela,EGY,SRB,4,1,"16,11,11,11,11|14,9,13,9,5",SemiFinal,OTHER,WS,1026,Main Draw,MESHREF Dina (EGY),LUPULESKU Izabela (SRB),,,4 - 1,16:14 11:9 11:13 11:9 11:5,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,SINGH Elish,DVORAK Galia,NEP,ESP,4,3,"11,11,11,8,9,11,11|4,4,13,11,11,6,4",SemiFinal,OTHER,WS,1026,Main Draw,SINGH Elish (NEP),DVORAK Galia (ESP),,,4 - 3,11:4 11:4 11:13 8:11 9:11 11:6 11:4,SINGH Elish,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,GUNDUZ Ibrahim,SLO,TUR,4,1,"11,11,12,2,11|6,7,10,11,3",SemiFinal,OTHER,MS,1026,Main Draw,GUNDUZ Ibrahim (TUR),JORGIC Darko (SLO),,,1 - 4,6:11 7:11 10:12 11:2 3:11,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,CANTERO Jesus,ROBINOT Alexandre,ESP,FRA,4,3,"10,1,9,11,12,11,19|12,11,11,7,10,6,17",SemiFinal,OTHER,MS,1026,Main Draw,ROBINOT Alexandre (FRA),CANTERO Jesus (ESP),,,3 - 4,12:10 11:1 11:9 7:11 10:12 6:11 17:19,CANTERO Jesus,2018
Mediterranean Games Tarragona 2018,2018-06-22,DVORAK Galia,LUPULESKU Izabela,ESP,SRB,4,3,"6,7,11,11,11,4,11|11,11,8,7,9,11,7",2,OTHER,WS,1026,Position Draw,DVORAK Galia (ESP),LUPULESKU Izabela (SRB),,,4 - 3,6:11 7:11 11:8 11:7 11:9 4:11 11:7,DVORAK Galia,2018
Mediterranean Games Tarragona 2018,2018-06-22,GUNDUZ Ibrahim,ROBINOT Alexandre,TUR,FRA,4,0,"11,11,11,11|0,0,0,0",2,OTHER,MS,1026,Position Draw,ROBINOT Alexandre (FRA),GUNDUZ Ibrahim (TUR),,,0 - 4,0:11 0:11 0:11 0:11,GUNDUZ Ibrahim,2018
Mediterranean Games Tarragona 2018,2018-06-22,JORGIC Darko,CANTERO Jesus,SLO,ESP,4,0,"11,11,13,13|8,8,11,11",Final,OTHER,MS,1026,Main Draw,CANTERO Jesus (ESP),JORGIC Darko (SLO),,,0 - 4,8:11 8:11 11:13 11:13,JORGIC Darko,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,SINGH Elish,EGY,NEP,4,1,"11,11,13,5,11|4,2,11,11,7",Final,OTHER,WS,1026,Main Draw,SINGH Elish (NEP),MESHREF Dina (EGY),,,1 - 4,4:11 2:11 11:13 11:5 7:11,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,MARKOVIC Snezana,EGY,BIH,3,0,"11,11,11|4,3,5",,OTHER,WT,1026,Qualification,MESHREF Dina (EGY),MARKOVIC Snezana (BIH),,,3 - 0,11:4 11:3 11:5,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,MESHREF Dina,HADZIAHMETOVIC Emina,EGY,BIH,3,2,"11,11,7,11,11|7,13,11,5,8",,OTHER,WT,1026,Qualification,MESHREF Dina (EGY),HADZIAHMETOVIC Emina (BIH),HELMY Yousra (EGY),MARKOVIC Snezana (BIH),3 - 2,11:7 11:13 7:11 11:5 11:8,MESHREF Dina,2018
Mediterranean Games Tarragona 2018,2018-06-22,XIAO Maria,PARIDI Konstantina,ESP,GRE,3,0,"11,11,11|7,9,7",,OTHER,WT,1026,Qualification,PARIDI Konstantina (GRE),XIAO Maria (ESP),,,0 - 3,7:11 9:11 7:11,XIAO Maria,2018
Mediterranean Games Tarragona 2018,2018-06-22,DVORAK Galia,ZAVITSANOU Georgia,ESP,GRE,3,1,"8,12,11,11|11,10,9,6",,OTHER,WT,1026,Qualification,ZAVITSANOU Georgia (GRE),DVORAK Galia (ESP),,,1 - 3,11:8 10:12 9:11 6:11,DVORAK Galia,2018
Mediterranean Games Tarragona 2018,2018-06-22,XIAO Maria,TOLIOU Aikaterini,ESP,GRE,3,1,"12,11,9,11|10,8,11,5",,OTHER,WT,1026,Qualification,TOLIOU Aikaterini (GRE),XIAO Maria (ESP),PARIDI Konstantina (GRE),DVORAK Galia (ESP),1 - 3,10:12 8:11 11:9 5:11,XIAO Maria,2018
Mediterranean Games Tarragona 2018,2018-06-22,GASNIER Laura,MARTINS Catia,FRA,POR,3,1,"6,11,11,11|11,3,6,4",,OTHER,WT,1026,Qualification,MARTINS Catia (POR),GASNIER Laura (FRA),,,1 - 3,11:6 3:11 6:11 4:11,GASNIER Laura,2018
Mediterranean Games Tarragona 2018,2018-06-22,LOEUILLETTE Stephanie,SANTOS Marta,FRA,POR,3,0,"11,11,11|9,7,5",,OTHER,WT,1026,Qualification,SANTOS Marta (POR),LOEUILLETTE Stephanie (FRA),,,0 - 3,9:11 7:11 5:11,LOEUILLETTE Stephanie,2018
Mediterranean Games Tarragona 2018,2018-06-22,GASNIER Laura,SANTOS Marta,FRA,POR,3,0,"11,11,11|9,6,6",,OTHER,WT,1026,Qualification,SANTOS Marta (POR),GASNIER Laura (FRA),MARTINS Catia (POR),ZARIF Audrey (FRA),0 - 3,9:11 6:11 6:11,GASNIER Laura,2018
Mediterranean Games Tarragona 2018,2018-06-22,LAURENTI Jamila,SAIDANI Safa,ITA,TUN,3,2,"11,11,6,13,11|5,3,11,15,5",,OTHER,WT,1026,Qualification,LAURENTI Jamila (ITA),SAIDANI Safa (TUN),,,3 - 2,11:5 11:3 6:11 13:15 11:5,LAURENTI Jamila,2018
Mediterranean Games Tarragona 2018,2018-06-22,PICCOLIN Giorgia,HAJ SALAH Abir,ITA,TUN,3,0,"11,11,11|8,4,1",,OTHER,WT,1026,Qualification,PICCOLIN Giorgia (ITA),HAJ SALAH Abir (TUN),COLANTONI Chiara (ITA),SAIDANI Safa (TUN),3 - 0,11:8 11:4 11:1,PICCOLIN Giorgia,2018
Mediterranean Games Tarragona 2018,2018-06-22,ASSAR Khalid,BEN YAHIA Kerem,EGY,TUN,3,1,"10,11,11,11|12,3,9,7",,OTHER,MT,1026,Qualification,ASSAR Khalid (EGY),BEN YAHIA Kerem (TUN),,,3 - 1,10:12 11:3 11:9 11:7,ASSAR Khalid,2018
Mediterranean Games Tarragona 2018,2018-06-22,ELBEIALI Mohamed,HMAM Adam,EGY,TUN,3,1,"11,13,5,11|7,11,11,7",,OTHER,MT,1026,Qualification,ELBEIALI Mohamed (EGY),HMAM Adam (TUN),,,3 - 1,11:7 13:11 5:11 11:7,ELBEIALI Mohamed,2018
