tournament,date,player_a,player_b,country_a,country_b,score_a,score_b,game_scores,round,tier,sub_event,event_id,stage,player_a_raw,player_b_raw,player_x_raw,player_y_raw,result_raw,games_raw,winner_raw,year_raw
ITTF Mixed Team World Cup 2023,2023-12-04,FAN Zhendong,WONG Chun Ting,CHN,HKG,2,0,"11,11,0|7,4,0",GROUP,WORLD_CUP,XT,2860,Main Draw,FAN Zhendong (CHN),WONG Chun Ting (HKG),,,2 - 0,11:7 11:4 0:0,FAN Zhendong,2023
ITTF Mixed Team World Cup 2023,2023-12-04,HARIMOTO Miwa,SUN Yingsha,JPN,CHN,2,1,"5,13,11|11,11,9",GROUP,WORLD_CUP,XT,2860,Main Draw,HARIMOTO Miwa (JPN),SUN Yingsha (CHN),TOGAMI Shunsuke (JPN),WANG Chuqin (CHN),1 - 2,11:5 11:13 9:11,HARIMOTO Miwa,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,HAYATA Hina,CHN,JPN,3,0,"11,11,11|6,9,5",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),HAYATA Hina (JPN),,,3 - 0,11:6 11:9 11:5,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,HARIMOTO Tomokazu,FAN Zhendong,JPN,CHN,2,1,"11,11,7|3,6,11",GROUP,WORLD_CUP,XT,2860,Main Draw,HARIMOTO Tomokazu (JPN),FAN Zhendong (CHN),,,1 - 2,3:11 6:11 11:7,HARIMOTO Tomokazu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,HARIMOTO Miwa,CHN,JPN,2,1,"10,11,13|12,3,11",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),HARIMOTO Miwa (JPN),CHEN Meng (CHN),KIHARA Miyuu (JPN),2 - 1,10:12 11:3 13:11,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Chuqin,TOGAMI Shunsuke,CHN,JPN,1,0,"11,0|5,0",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Chuqin (CHN),TOGAMI Shunsuke (JPN),MA Long (CHN),SONE Kakeru (JPN),1 - 0,11:5 0:0,WANG Chuqin,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,SHIN Yubin,CHN,KOR,3,0,"11,11,11|8,8,5",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),SHIN Yubin (KOR),WANG Chuqin (CHN),AN Jaehyun (KOR),3 - 0,11:8 11:8 11:5,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,KIM Nayeong,CHN,KOR,3,0,"11,11,11|2,5,7",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),KIM Nayeong (KOR),,,3 - 0,11:2 11:5 11:7,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,FAN Zhendong,LEE Sang Su,CHN,KOR,2,1,"11,10,11|7,12,4",GROUP,WORLD_CUP,XT,2860,Main Draw,FAN Zhendong (CHN),LEE Sang Su (KOR),,,2 - 1,11:7 10:12 11:4,FAN Zhendong,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,DIAZ Fabiola,CHN,PUR,3,0,"11,11,11|1,4,2",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),DIAZ Fabiola (PUR),WANG Chuqin (CHN),AFANADOR Brian (PUR),3 - 0,11:1 11:4 11:2,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,DIAZ Adriana,WANG Manyu,PUR,CHN,2,1,"10,12,11|12,10,8",GROUP,WORLD_CUP,XT,2860,Main Draw,DIAZ Adriana (PUR),WANG Manyu (CHN),,,1 - 2,12:10 10:12 8:11,DIAZ Adriana,2023
ITTF Mixed Team World Cup 2023,2023-12-04,MA Long,NARANJO Angel,CHN,PUR,3,0,"11,11,11|6,2,4",GROUP,WORLD_CUP,XT,2860,Main Draw,MA Long (CHN),NARANJO Angel (PUR),,,3 - 0,11:6 11:2 11:4,MA Long,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,DIAZ Adriana,CHN,PUR,1,0,"11,0|3,0",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),DIAZ Adriana (PUR),WANG Yidi (CHN),DIAZ Melanie (PUR),1 - 0,11:3 0:0,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Yidi,KUKULKOVA Tatiana,CHN,SVK,2,1,"12,11,11|14,6,7",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Yidi (CHN),KUKULKOVA Tatiana (SVK),LIN Gaoyuan (CHN),ZELINKA Jakub (SVK),2 - 1,12:14 11:6 11:7,WANG Yidi,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,VARADY Barbora,CHN,SVK,3,0,"11,11,11|4,2,6",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),VARADY Barbora (SVK),,,3 - 0,11:4 11:2 11:6,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,FAN Zhendong,WANG Yang,CHN,SVK,3,0,"11,11,11|7,7,4",GROUP,WORLD_CUP,XT,2860,Main Draw,FAN Zhendong (CHN),WANG Yang (SVK),,,3 - 0,11:7 11:7 11:4,FAN Zhendong,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Manyu,KALLBERG Christina,CHN,SWE,3,0,"11,11,11|9,2,4",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Manyu (CHN),KALLBERG Christina (SWE),LIN Gaoyuan (CHN),KARLSSON Kristian (SWE),3 - 0,11:9 11:2 11:4,WANG Manyu,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,BERGSTROM Linda,CHN,SWE,3,0,"11,11,12|9,5,10",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),BERGSTROM Linda (SWE),,,3 - 0,11:9 11:5 12:10,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Chuqin,KALLBERG Anton,CHN,SWE,2,0,"11,11,0|6,7,0",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Chuqin (CHN),KALLBERG Anton (SWE),,,2 - 0,11:6 11:7 0:0,WANG Chuqin,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SUN Yingsha,LI Yu-Jhun,CHN,TPE,2,1,"11,11,9|5,7,11",GROUP,WORLD_CUP,XT,2860,Main Draw,SUN Yingsha (CHN),LI Yu-Jhun (TPE),WANG Chuqin (CHN),YANG Chia-An (TPE),2 - 1,11:5 11:7 9:11,SUN Yingsha,2023
ITTF Mixed Team World Cup 2023,2023-12-04,CHEN Meng,CHEN Ying-Chen,CHN,TPE,3,0,"11,11,11|7,2,3",GROUP,WORLD_CUP,XT,2860,Main Draw,CHEN Meng (CHN),CHEN Ying-Chen (TPE),,,3 - 0,11:7 11:2 11:3,CHEN Meng,2023
ITTF Mixed Team World Cup 2023,2023-12-04,MA Long,LIN Yen-Chun,CHN,TPE,3,0,"11,11,11|2,3,6",GROUP,WORLD_CUP,XT,2860,Main Draw,MA Long (CHN),LIN Yen-Chun (TPE),,,3 - 0,11:2 11:3 11:6,MA Long,2023
ITTF Mixed Team World Cup 2023,2023-12-04,KUKULKOVA Tatiana,ALHODABY Mariam,SVK,EGY,2,1,"11,8,11|6,11,8",GROUP,WORLD_CUP,XT,2860,Main Draw,KUKULKOVA Tatiana (SVK),ALHODABY Mariam (EGY),ZELINKA Jakub (SVK),ABDELAZIZ Youssef (EGY),1 - 2,6:11 11:8 8:11,KUKULKOVA Tatiana,2023
ITTF Mixed Team World Cup 2023,2023-12-04,VARADY Barbora,ALHODABY Marwa,SVK,EGY,2,1,"13,13,11|15,11,7",GROUP,WORLD_CUP,XT,2860,Main Draw,VARADY Barbora (SVK),ALHODABY Marwa (EGY),,,1 - 2,15:13 11:13 7:11,VARADY Barbora,2023
ITTF Mixed Team World Cup 2023,2023-12-04,WANG Yang,ELBEIALI Mohamed,SVK,EGY,3,0,"11,11,11|7,3,9",GROUP,WORLD_CUP,XT,2860,Main Draw,WANG Yang (SVK),ELBEIALI Mohamed (EGY),,,0 - 3,7:11 3:11 9:11,WANG Yang,2023
ITTF Mixed Team World Cup 2023,2023-12-04,VARADY Barbora,ALHODABY Mariam,SVK,EGY,1,0,"11,0,0|6,0,0",GROUP,WORLD_CUP,XT,2860,Main Draw,VARADY Barbora (SVK),ALHODABY Mariam (EGY),KUKULKOVA Tatiana (SVK),ALHODABY Marwa (EGY),0 - 1,6:11 0:0 0:0,VARADY Barbora,2023
ITTF Mixed Team World Cup 2023,2023-12-04,YUAN Jia Nan,BROMLEY Michelle,FRA,AUS,2,1,"11,11,3|4,3,11",GROUP,WORLD_CUP,XT,2860,Main Draw,YUAN Jia Nan (FRA),BROMLEY Michelle (AUS),LEBRUN Alexis (FRA),LEE Yonghun (AUS),2 - 1,11:4 11:3 3:11,YUAN Jia Nan,2023
ITTF Mixed Team World Cup 2023,2023-12-04,PAVADE Prithika,LAY Jian Fang,FRA,AUS,2,1,"9,11,11|11,9,7",GROUP,WORLD_CUP,XT,2860,Main Draw,PAVADE Prithika (FRA),LAY Jian Fang (AUS),,,2 - 1,9:11 11:9 11:7,PAVADE Prithika,2023
ITTF Mixed Team World Cup 2023,2023-12-04,LEBRUN Felix,CHAMBERS Dillon,FRA,AUS,3,0,"11,11,11|7,3,2",GROUP,WORLD_CUP,XT,2860,Main Draw,LEBRUN Felix (FRA),CHAMBERS Dillon (AUS),,,3 - 0,11:7 11:3 11:2,LEBRUN Felix,2023
ITTF Mixed Team World Cup 2023,2023-12-04,YUAN Jia Nan,SAMARA Elizabeta,FRA,ROU,2,1,"11,6,11|5,11,7",GROUP,WORLD_CUP,XT,2860,Main Draw,YUAN Jia Nan (FRA),SAMARA Elizabeta (ROU),LEBRUN Alexis (FRA),IONESCU Ovidiu (ROU),2 - 1,11:5 6:11 11:7,YUAN Jia Nan,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SZOCS Bernadette,PAVADE Prithika,ROU,FRA,2,1,"12,9,11|10,11,8",GROUP,WORLD_CUP,XT,2860,Main Draw,SZOCS Bernadette (ROU),PAVADE Prithika (FRA),,,1 - 2,10:12 11:9 8:11,SZOCS Bernadette,2023
ITTF Mixed Team World Cup 2023,2023-12-04,LEBRUN Felix,MOVILEANU Darius,FRA,ROU,3,0,"11,11,11|8,8,5",GROUP,WORLD_CUP,XT,2860,Main Draw,LEBRUN Felix (FRA),MOVILEANU Darius (ROU),,,3 - 0,11:8 11:8 11:5,LEBRUN Felix,2023
ITTF Mixed Team World Cup 2023,2023-12-04,SAMARA Elizabeta,YUAN Jia Nan,ROU,FRA,2,1,"11,9,11|8,11,7",GROUP,WORLD_CUP,XT,2860,Main Draw,SAMARA Elizabeta (ROU),YUAN Jia Nan (FRA),SZOCS Bernadette (ROU),PAVADE Prithika (FRA),1 - 2,8:11 11:9 7:11,SAMARA Elizabeta,2023
ITTF Mixed Team World Cup 2023,2023-12-04,LEBRUN Alexis,IONESCU Ovidiu,FRA,ROU,1,0,"11,0|7,0",GROUP,WORLD_CUP,XT,2860,Main Draw,LEBRUN Alexis (FRA),IONESCU Ovidiu (ROU),LEBRUN Felix (FRA),MOVILEANU Darius (ROU),1 - 0,11:7 0:0,LEBRUN Alexis,2023
ITTF Mixed Team World Cup 2023,2023-12-04,YUAN Jia Nan,LI Yu-Jhun,FRA,TPE,2,1,"11,5,12|2,11,10",GROUP,WORLD_CUP,XT,2860,Main Draw,YUAN Jia Nan (FRA),LI Yu-Jhun (TPE),LEBRUN Alexis (FRA),YANG Chia-An (TPE),2 - 1,11:2 5:11 12:10,YUAN Jia Nan,2023
ITTF Mixed Team World Cup 2023,2023-12-04,PAVADE Prithika,HUANG Yi-Hua,FRA,TPE,2,1,"11,11,7|8,5,11",GROUP,WORLD_CUP,XT,2860,Main Draw,PAVADE Prithika (FRA),HUANG Yi-Hua (TPE),,,2 - 1,11:8 11:5 7:11,PAVADE Prithika,2023
ITTF Mixed Team World Cup 2023,2023-12-04,GAUZY Simon,WANG Chen-You,FRA,TPE,2,1,"11,9,11|6,11,7",GROUP,WORLD_CUP,XT,2860,Main Draw,GAUZY Simon (FRA),WANG Chen-You (TPE),,,2 - 1,11:6 9:11 11:7,GAUZY Simon,2023
ITTF Mixed Team World Cup 2023,2023-12-04,GAUZY Simon,YANG Chia-An,FRA,TPE,2,0,"13,11,0|11,7,0",GROUP,WORLD_CUP,XT,2860,Main Draw,GAUZY Simon (FRA),YANG Chia-An (TPE),LEBRUN Felix (FRA),LIN Yen-Chun (TPE),2 - 0,13:11 11:7 0:0,GAUZY Simon,2023
